dataset,analysis_set,meta_primary_source_id,row_count,target_mean,target_median,target_minimum,target_maximum
cell_viability,all_rows,doi:10.1002/adfm.201700798,4,87.5,90.0,80.0,90.0
cell_viability,all_rows,doi:10.1002/adhm.201500677,9,91.11111111111111,94.0,76.0,96.0
cell_viability,all_rows,doi:10.1002/adhm.201601451,9,83.11111111111111,85.8,69.0,91.0
cell_viability,all_rows,doi:10.1002/adhm.201801631,3,77.80333333333334,76.17,74.26,82.98
cell_viability,all_rows,doi:10.1002/adhm.201901544,4,80.975,81.5,75.3,85.6
cell_viability,all_rows,doi:10.1002/adhm.201901792,4,92.975,93.1,87.6,98.1
cell_viability,all_rows,doi:10.1002/adma.201305506,10,74.65,76.5,61.0,82.0
cell_viability,all_rows,doi:10.1002/adma.201503310,9,61.388888888888886,74.0,28.0,83.4
cell_viability,all_rows,doi:10.1002/adma.201604983,15,92.08,92.6,86.3,96.9
cell_viability,all_rows,doi:10.1002/adma.201703443,15,96.70666666666666,96.3,95.4,98.1
cell_viability,all_rows,doi:10.1002/biot.200900004,12,67.91666666666667,68.5,47.0,84.0
cell_viability,all_rows,doi:10.1002/jbm.a.34420,2,83.0,83.0,81.4,84.6
cell_viability,all_rows,doi:10.1002/jbm.a.36036,4,63.925,68.8,22.5,95.6
cell_viability,all_rows,doi:10.1002/mabi.201600472,42,92.12452380952381,95.395,43.16,99.8
cell_viability,all_rows,doi:10.1002/smll.201905505,18,86.60555555555555,92.0,34.6,95.9
cell_viability,all_rows,doi:10.1002/term.1682,4,90.5,90.5,85.0,96.0
cell_viability,all_rows,doi:10.1007/s00289-020-03421-y,1,95.25,95.25,95.25,95.25
cell_viability,all_rows,doi:10.1007/s10439-016-1704-5,30,69.51666666666667,66.75,49.0,94.0
cell_viability,all_rows,doi:10.1007/s10856-019-6258-2,3,88.46666666666665,87.6,84.8,93.0
cell_viability,all_rows,doi:10.1007/s13205-018-1341-9,3,88.85666666666667,88.88,85.35,92.34
cell_viability,all_rows,doi:10.1016/j.actbio.2014.06.034,13,80.76923076923077,95.0,20.0,95.0
cell_viability,all_rows,doi:10.1016/j.actbio.2014.09.023,4,92.05,92.65,86.7,96.2
cell_viability,all_rows,doi:10.1016/j.actbio.2014.09.033,4,93.0,97.0,80.0,98.0
