dataset,outer_validation_design,outer_repeat,outer_fold,outer_split_id,inner_validation_design,inner_fold,inner_seed,inner_train_rows,inner_validation_rows,inner_train_sources,inner_validation_sources,overlapping_source_count,validation_source_seen_fraction
cell_viability,leave_one_publication_out,1,1,CV_leave_one_publication_out_r01_f001,publication_grouped,1,1253148216,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,1,CV_leave_one_publication_out_r01_f001,publication_grouped,2,1253148216,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,1,CV_leave_one_publication_out_r01_f001,publication_grouped,3,1253148216,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,1,CV_leave_one_publication_out_r01_f001,publication_grouped,4,1253148216,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,2,CV_leave_one_publication_out_r01_f002,publication_grouped,1,3965298774,451,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,2,CV_leave_one_publication_out_r01_f002,publication_grouped,2,3965298774,451,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,2,CV_leave_one_publication_out_r01_f002,publication_grouped,3,3965298774,450,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,2,CV_leave_one_publication_out_r01_f002,publication_grouped,4,3965298774,451,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,3,CV_leave_one_publication_out_r01_f003,publication_grouped,1,1938009206,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,3,CV_leave_one_publication_out_r01_f003,publication_grouped,2,1938009206,450,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,3,CV_leave_one_publication_out_r01_f003,publication_grouped,3,1938009206,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,3,CV_leave_one_publication_out_r01_f003,publication_grouped,4,1938009206,449,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,4,CV_leave_one_publication_out_r01_f004,publication_grouped,1,75829076,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,4,CV_leave_one_publication_out_r01_f004,publication_grouped,2,75829076,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,4,CV_leave_one_publication_out_r01_f004,publication_grouped,3,75829076,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,4,CV_leave_one_publication_out_r01_f004,publication_grouped,4,75829076,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,5,CV_leave_one_publication_out_r01_f005,publication_grouped,1,1307579681,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,5,CV_leave_one_publication_out_r01_f005,publication_grouped,2,1307579681,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,5,CV_leave_one_publication_out_r01_f005,publication_grouped,3,1307579681,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,5,CV_leave_one_publication_out_r01_f005,publication_grouped,4,1307579681,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,6,CV_leave_one_publication_out_r01_f006,publication_grouped,1,2520590651,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,6,CV_leave_one_publication_out_r01_f006,publication_grouped,2,2520590651,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,6,CV_leave_one_publication_out_r01_f006,publication_grouped,3,2520590651,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,6,CV_leave_one_publication_out_r01_f006,publication_grouped,4,2520590651,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,publication_grouped,1,3328021772,448,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,publication_grouped,2,3328021772,448,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,publication_grouped,3,3328021772,449,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,publication_grouped,4,3328021772,449,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,8,CV_leave_one_publication_out_r01_f008,publication_grouped,1,1289181749,449,150,56,18,0,0.0
