dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
cell_viability,CV,random_rowwise,1,1,CV_random_rowwise_r01_f001,1655089579,486,122,75,50,50,122,1.0,
cell_viability,CV,random_rowwise,1,2,CV_random_rowwise_r01_f002,1655089579,486,122,74,52,51,120,0.9836065573770492,
cell_viability,CV,random_rowwise,1,3,CV_random_rowwise_r01_f003,1655089579,486,122,75,50,50,122,1.0,
cell_viability,CV,random_rowwise,1,4,CV_random_rowwise_r01_f004,1655089579,487,121,72,55,52,118,0.9752066115702479,
cell_viability,CV,random_rowwise,1,5,CV_random_rowwise_r01_f005,1655089579,487,121,74,57,56,119,0.9834710743801653,
cell_viability,CV,random_rowwise,2,1,CV_random_rowwise_r02_f001,3083407317,486,122,75,53,53,122,1.0,
cell_viability,CV,random_rowwise,2,2,CV_random_rowwise_r02_f002,3083407317,486,122,74,52,51,121,0.9918032786885246,
cell_viability,CV,random_rowwise,2,3,CV_random_rowwise_r02_f003,3083407317,486,122,74,52,51,121,0.9918032786885246,
cell_viability,CV,random_rowwise,2,4,CV_random_rowwise_r02_f004,3083407317,487,121,73,58,56,118,0.9752066115702479,
cell_viability,CV,random_rowwise,2,5,CV_random_rowwise_r02_f005,3083407317,487,121,75,49,49,121,1.0,
cell_viability,CV,random_rowwise,3,1,CV_random_rowwise_r03_f001,1842725208,486,122,74,50,49,120,0.9836065573770492,
cell_viability,CV,random_rowwise,3,2,CV_random_rowwise_r03_f002,1842725208,486,122,74,57,56,121,0.9918032786885246,
cell_viability,CV,random_rowwise,3,3,CV_random_rowwise_r03_f003,1842725208,486,122,74,51,50,121,0.9918032786885246,
cell_viability,CV,random_rowwise,3,4,CV_random_rowwise_r03_f004,1842725208,487,121,74,49,48,118,0.9752066115702479,
cell_viability,CV,random_rowwise,3,5,CV_random_rowwise_r03_f005,1842725208,487,121,70,55,50,112,0.9256198347107438,
