dataset,target_family,feature_set,preprocessing_variant,outer_split_count,dry_run_count,input_feature_count,numeric_feature_count,categorical_feature_count,minimum_output_feature_count,median_output_feature_count,maximum_output_feature_count,maximum_all_missing_numeric_features,maximum_all_missing_categorical_features,maximum_unseen_category_features,maximum_test_rows_with_unseen_category,all_runs_passed
cell_viability,raw_outcome,core_physics,scaled,125,125,15,13,2,33,33.0,33,0,0,0,0,True
cell_viability,raw_outcome,core_physics,unscaled,125,125,15,13,2,33,33.0,33,0,0,0,0,True
cell_viability,raw_outcome,full_retrospective,scaled,125,125,46,36,10,101,103.0,103,0,0,2,31,True
cell_viability,raw_outcome,full_retrospective,unscaled,125,125,46,36,10,101,103.0,103,0,0,2,31,True
cell_viability,raw_outcome,prospective_design,scaled,125,125,44,34,10,97,99.0,99,0,0,2,31,True
cell_viability,raw_outcome,prospective_design,unscaled,125,125,44,34,10,97,99.0,99,0,0,2,31,True
filament_diameter,filament_to_nozzle_ratio,core_physics,scaled,104,104,13,12,1,27,28.0,28,0,0,1,4,True
filament_diameter,filament_to_nozzle_ratio,core_physics,unscaled,104,104,13,12,1,27,28.0,28,0,0,1,4,True
filament_diameter,filament_to_nozzle_ratio,full_retrospective,scaled,104,104,39,31,8,86,87.0,87,0,0,1,4,True
filament_diameter,filament_to_nozzle_ratio,full_retrospective,unscaled,104,104,39,31,8,86,87.0,87,0,0,1,4,True
filament_diameter,filament_to_nozzle_ratio,prospective_design,scaled,104,104,37,29,8,82,83.0,83,0,0,1,4,True
filament_diameter,filament_to_nozzle_ratio,prospective_design,unscaled,104,104,37,29,8,82,83.0,83,0,0,1,4,True
filament_diameter,raw_outcome,core_physics,scaled,104,104,14,13,1,29,30.0,30,0,0,1,4,True
filament_diameter,raw_outcome,core_physics,unscaled,104,104,14,13,1,29,30.0,30,0,0,1,4,True
filament_diameter,raw_outcome,full_retrospective,scaled,104,104,40,32,8,88,89.0,89,0,0,1,4,True
filament_diameter,raw_outcome,full_retrospective,unscaled,104,104,40,32,8,88,89.0,89,0,0,1,4,True
filament_diameter,raw_outcome,prospective_design,scaled,104,104,38,30,8,84,85.0,85,0,0,1,4,True
filament_diameter,raw_outcome,prospective_design,unscaled,104,104,38,30,8,84,85.0,85,0,0,1,4,True
