dataset,target_family,feature_set,feature_order,original_column,canonical_name
cell_viability,raw_outcome,core_physics,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
cell_viability,raw_outcome,core_physics,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
cell_viability,raw_outcome,core_physics,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
cell_viability,raw_outcome,core_physics,4,CaCl2_Conc_(mM),cacl2_conc_mm
cell_viability,raw_outcome,core_physics,5,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
cell_viability,raw_outcome,core_physics,6,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
cell_viability,raw_outcome,core_physics,7,Extrusion_Pressure (kPa),extrusion_pressure_kpa
cell_viability,raw_outcome,core_physics,8,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
cell_viability,raw_outcome,core_physics,9,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
cell_viability,raw_outcome,core_physics,10,Cell_Density_(cells/mL),cell_density_cells_or_ml
cell_viability,raw_outcome,core_physics,11,Syringe_Temperature_(°C),syringe_temperature_degc
cell_viability,raw_outcome,core_physics,12,Substrate_Temperature_(°C),substrate_temperature_degc
cell_viability,raw_outcome,core_physics,13,Days_Observed,days_observed
cell_viability,raw_outcome,core_physics,14,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
cell_viability,raw_outcome,core_physics,15,Primary/Not_Primary,primary_or_not_primary
cell_viability,raw_outcome,prospective_design,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,7,Final_Fibroin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv
cell_viability,raw_outcome,prospective_design,8,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,9,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v
