dataset,column_position,original_column,canonical_name,scientific_definition,unit,final_data_type,final_analysis_role,feature_timing,leakage_risk,include_core_physics,include_prospective_design,include_full_retrospective,include_ratio_core,include_ratio_prospective,include_ratio_full,special_parsing_rule,source_header_note,lock_status
cell_viability,1,Reference,reference,"Publication-level source identifier used only for grouping, auditing, and validation.",,identifier,publication_identifier,not_a_predictor,excluded,False,False,False,False,False,False,,,locked
cell_viability,2,DOI,doi,"Publication-level source identifier used only for grouping, auditing, and validation.",,identifier,publication_identifier,not_a_predictor,excluded,False,False,False,False,False,False,,,locked
cell_viability,3,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,True,True,True,False,False,False,,,locked
cell_viability,4,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,True,True,True,False,False,False,,,locked
cell_viability,5,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,True,True,True,False,False,False,,,locked
cell_viability,6,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,7,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,8,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,9,Final_Fibroin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,10,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,11,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,12,Final_Chitosan_Conc_(%w/v),final_chitosan_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
cell_viability,13,Final_CS-AEMA_Conc_(%w/v),final_cs_aema_conc_pctw_or_v,Reported concentration of the named formulation or crosslinking component.,% w/v,numeric,numeric_predictor,pre_or_during_print,low,False,True,True,False,False,False,,,locked
