model_key,model_display_name,model_family,preprocessing_variant,candidate_order,candidate_id,complexity_tie_break_rank,parameters_json,parameter_alpha,parameter_l1_ratio,parameter_n_estimators,parameter_max_depth,parameter_min_samples_leaf,parameter_max_features,parameter_C,parameter_epsilon,parameter_gamma
ridge,Ridge regression,linear_regularized,scaled,1,ridge_01,1,"{""alpha"": 100.0}",100.0,,,,,,,,
ridge,Ridge regression,linear_regularized,scaled,2,ridge_02,2,"{""alpha"": 10.0}",10.0,,,,,,,,
ridge,Ridge regression,linear_regularized,scaled,3,ridge_03,3,"{""alpha"": 1.0}",1.0,,,,,,,,
ridge,Ridge regression,linear_regularized,scaled,4,ridge_04,4,"{""alpha"": 0.1}",0.1,,,,,,,,
ridge,Ridge regression,linear_regularized,scaled,5,ridge_05,5,"{""alpha"": 0.01}",0.01,,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,1,elastic_net_01,1,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",1.0,0.9,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,2,elastic_net_02,2,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",1.0,0.5,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,3,elastic_net_03,3,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",1.0,0.1,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,4,elastic_net_04,4,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",0.1,0.9,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,5,elastic_net_05,5,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.1,0.5,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,6,elastic_net_06,6,"{""alpha"": 0.1, ""l1_ratio"": 0.1}",0.1,0.1,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,7,elastic_net_07,7,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",0.01,0.9,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,8,elastic_net_08,8,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.01,0.5,,,,,,,
elastic_net,Elastic Net,linear_regularized_sparse,scaled,9,elastic_net_09,9,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.01,0.1,,,,,,,
