dataset,dataset_code,validation_design,repeat,meta_row_id,meta_primary_source_id,assigned_test_fold,assignment_seed
cell_viability,CV,random_rowwise,1,CV-0001-715941901c3f,doi:10.1089/ten.a.2007.0158,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0002-efe9fa421c3e,doi:10.1089/ten.a.2007.0158,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0003-245f4a5876ad,doi:10.1089/ten.a.2007.0158,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0004-e755838550ec,doi:10.1089/ten.a.2007.0158,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0005-d78784a5e835,doi:10.1089/ten.a.2007.0158,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0006-592f9802dc18,doi:10.1089/ten.a.2007.0158,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0007-7168c2dad485,doi:10.1089/ten.a.2007.0158,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0008-3a953acd55f4,doi:10.1089/ten.a.2007.0158,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0009-0cead524da82,doi:10.1089/ten.a.2007.0158,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0010-3516ef41b276,doi:10.1021/acsbiomaterials.9b00167,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0011-5e195956bdac,doi:10.1021/acsbiomaterials.9b00167,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0012-a412435f079d,doi:10.1021/acsbiomaterials.9b00167,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0013-88dba2311f7e,doi:10.1021/acsbiomaterials.9b00167,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0014-8c48be7bf353,doi:10.1021/acsbiomaterials.9b00167,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0015-bb35a2db110c,doi:10.1021/acsbiomaterials.9b00167,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0016-a053f41712c5,doi:10.1021/acsbiomaterials.9b00167,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0017-582f3a1cd5fb,doi:10.1021/acsbiomaterials.9b00167,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0018-526ac2f0c0b0,doi:10.1021/acsbiomaterials.9b00167,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0019-347032b08af1,doi:10.1021/acsbiomaterials.9b00167,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0020-3559559b2719,doi:10.1021/acsbiomaterials.9b00167,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0021-0d7a88a5349d,doi:10.1021/acsbiomaterials.9b00167,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0022-cea71ff98124,doi:10.1016/j.actbio.2014.06.034,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0023-0c737d7d4338,doi:10.1016/j.actbio.2014.06.034,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0026-cab0213ba294,doi:10.1016/j.actbio.2014.06.034,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0027-4d29ad4e83b9,doi:10.1016/j.actbio.2014.06.034,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0028-be3d8663d843,doi:10.1016/j.actbio.2014.06.034,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0030-2d629ecc2ae5,doi:10.1016/j.actbio.2014.06.034,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0031-10ed2a587ace,doi:10.1016/j.actbio.2014.06.034,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0033-81fa7ff59fad,doi:10.1016/j.actbio.2014.06.034,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0034-32a88a970dd3,doi:10.1016/j.actbio.2014.06.034,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0035-bd9be95716f3,doi:10.1002/biot.200900004,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0036-4b11bd17a491,doi:10.1002/biot.200900004,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0037-d0d269de72a0,doi:10.1002/biot.200900004,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0038-67bc0cfc91eb,doi:10.1002/biot.200900004,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0039-254e77a6b483,doi:10.1002/biot.200900004,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0040-b41226612751,doi:10.1002/biot.200900004,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0041-f86a8983c253,doi:10.1002/biot.200900004,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0042-4d0465be16e7,doi:10.1002/biot.200900004,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0043-8ed78c92ad3f,doi:10.1002/biot.200900004,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0044-064375202deb,doi:10.1002/biot.200900004,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0045-9fabe48586c5,doi:10.1002/biot.200900004,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0046-5edb643413cc,doi:10.1002/biot.200900004,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0047-a34f1b039659,doi:10.1021/acsami.7b04216,2,1655089579
