dataset,validation_design,repeat,assignment_seed,source_id,assigned_fold,source_row_count
cell_viability,publication_grouped,1,1050824782,doi:10.1002/mabi.201600472,5,42.0
cell_viability,publication_grouped,1,1050824782,doi:10.1115/1.4024575,2,30.0
cell_viability,publication_grouped,1,1050824782,doi:10.1007/s10439-016-1704-5,4,30.0
cell_viability,publication_grouped,1,1050824782,doi:10.1089/ten.a.2007.0004,1,21.0
cell_viability,publication_grouped,1,1050824782,doi:10.1038/s41598-018-26407-3,3,20.0
cell_viability,publication_grouped,1,1050824782,doi:10.18063/ijb.v5i2.2.204,3,19.0
cell_viability,publication_grouped,1,1050824782,doi:10.1038/s41598-020-65050-9,1,18.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/smll.201905505,2,18.0
cell_viability,publication_grouped,1,1050824782,doi:10.1038/s41598-019-55034-9,4,15.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adma.201604983,1,15.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/abc39b,3,14.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/8/3/035020,5,14.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adma.201703443,4,13.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acs.biomac.9b01204,2,12.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acsami.7b16059,3,12.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acsbiomaterials.9b00167,1,12.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/biot.200900004,5,12.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/7/4/045012,4,11.0
cell_viability,publication_grouped,1,1050824782,doi:10.1089/ten.tec.2015.0307,2,10.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/7/4/044102,3,10.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adma.201305506,1,10.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.actbio.2014.06.034,5,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5082/6/2/024105,4,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adma.201503310,2,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.biomaterials.2016.07.038,3,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adhm.201601451,1,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab2622,5,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1089/ten.a.2007.0158,4,9.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab19fd,2,8.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.actbio.2018.10.028,3,8.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/aa7b1d,1,8.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adhm.201500677,5,7.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.biomaterials.2015.05.031,2,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1039/c3bm00012e,4,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab15cb,3,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/aacd30,5,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acsami.9b09782,2,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1089/ten.tec.2007.0392,4,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.actbio.2020.07.016,1,6.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.mtbio.2020.100078,3,5.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adhm.201901792,5,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adfm.201700798,2,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1089/biores.2013.0031,4,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.actbio.2014.09.023,1,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1115/1.3128729,5,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/0960-1317/22/8/085014,2,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adhm.201901544,4,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/term.1682,1,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/8/4/045001,3,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.actbio.2014.09.033,5,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.addma.2020.101640,2,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5082/6/3/035001,4,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/8/4/045002,1,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab0692,3,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab7553,5,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/jbm.a.36036,2,4.0
cell_viability,publication_grouped,1,1050824782,doi:10.3390/ma13194237,4,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1038/srep29977,1,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1039/c4bm00234b,3,3.0
