meta__dataset,meta__source_filename,meta__original_data_row,meta__row_sha256,meta__row_id,Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No),meta__duplicate_group_id,meta__is_in_duplicate_group,meta__is_duplicate_beyond_first
filament_diameter,Filament diameter dataset V1 (1).csv,2,8ce25e81d3cb8c1e00e04fc685f8416987e4ae74a8fa4eb8cdf5828c0aeb0d52,FD-0001-8ce25e81d3cb,Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,250000,22,22,0.208,400,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,3,9163398d4f516c160d682e3af8f3b9b3895877421de7562da827491ca523f97d,FD-0002-9163398d4f51,Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,250000,22,22,1,400,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,4,7a00f7b4b8427495778534fd83900c8dcbedcc953b15130179e0e5e72d1cbcad,FD-0003-7a00f7b4b842,Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,15,0,210,430,250000,22,22,3,400,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,5,a20d17b7f9d8cc50fe4ba0c3e04bcec4ede44132654e01ede4cae4bfb10c8f55,FD-0004-a20d17b7f9d8,Fedorovich_Dhe22_TissueEng 2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,210,430,250000,4,22,0.208,400,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,6,4383d12e33470e20ee15b04055be1828bf053f6090deaed653045d52b97ab982,FD-0005-4383d12e3347,Fedorovich_Dhe22_TissueEng 2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,610,1280,250000,4,22,0.208,400,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,7,776a54f0469e9a7ba67fad8966314203c7b6aba3fc3da13430634fc141b42337,FD-0006-776a54f0469e,Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,,0,210,1052.1,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,8,15ace2415f390daada0516dbbbf35e0c660a302e4ca5f60627007845ce35f3d0,FD-0007-15ace2415f39,Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1103.09,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,9,47b40f574931fd7f1ac694889900e0cbed1f8568344200c194b4288e64e1e1f6,FD-0008-47b40f574931,Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,917.23,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,10,89aa6365b9999ef33d8c8c028426cb1829d46208e7e06346d6ba906e4bc8c689,FD-0009-89aa6365b999,Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1132.66,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,11,38e50d5ab007387f2bf056c014df11c6423b7598b3fd47811d8f9e3a58c180cc,FD-0010-38e50d5ab007,Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1015.34,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
