meta_dataset,meta_processing_version,meta_source_filename,meta_original_data_row,meta_row_id,meta_row_sha256,meta_duplicate_group_id,meta_is_in_duplicate_group,meta_is_duplicate_beyond_first,meta_primary_source_id,meta_sensitivity_source_id,reference,doi,final_alginate_conc_pctw_or_v,final_gelatin_conc_pctw_or_v,final_gelma_conc_pctw_or_v,final_hyaluronic_acid_conc_pctw_or_v,final_meha_conc_pctw_or_v,final_norha_conc_pctw_or_v,final_fibroin_or_fibrinogen_concentration_pct_wv,final_p127_conc_pctw_or_v,final_collagen_conc_pctw_or_v,final_chitosan_conc_pctw_or_v,final_cs_aema_conc_pctw_or_v,final_tcp_conc_pctw_or_v,final_gellan_conc_pctw_or_v,final_nano_or_methylcellulose_concentration_pct_wv,final_pegta_conc_pctw_or_v,final_pegma_conc_pctw_or_v,final_pegda_conc_pctw_or_v,final_agarose_conc_pctw_or_v,cacl2_conc_mm,source_nacl2_concentration_mm,bacl2_conc_mm,srcl2_conc_mm,physical_crosslinking_duration_s,photocrosslinking_duration_s,extrusion_pressure_kpa,extrusion_rate_lengthwise_mm_or_s,extrusion_rate_volume_wise_ml_or_s,nozzle_movement_speed_mm_or_s,inner_nozzle_outer_diameter_um,outer_nozzle_inner_diameter_um,fiber_diameter_um__annotation,fiber_diameter_um,fiber_spacing_um,cell_density_cells_or_ml,syringe_temperature_degc,substrate_temperature_degc,days_observed,cell_culture_medium_used,di_water_used,precrosslinking_solution_used,saline_solution_used,etoh_solution_used,photoinitiator_used,enzymatic_crosslinker_used,matrigel_used,conical_or_straight_nozzle,primary_or_not_primary,cell_viability_percent,acceptable_viability_yes_or_no,acceptable_pressure_yes_or_no,meta_included_in_primary,meta_primary_exclusion_reason
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,2,CV-0001-715941901c3f,715941901c3f3f86c50ee6871b49da3e42f445794e865d762b0d768f3b0aa584,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,,0.0,210.0,,430.0,300.0,250000.0,22.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,96.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,3,CV-0002-efe9fa421c3e,efe9fa421c3eaf0f8a360d2295adc713b3c9984a7647bf1a9ed197404a114e3b,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,,0.0,210.0,,430.0,300.0,250000.0,22.0,22.0,1.0,yes,no,no,no,no,no,no,no,straight,primary,72.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,4,CV-0003-245f4a5876ad,245f4a5876ad3ea03bce3d0029e812d3145527a93a4f15f4fc0c866fdd925b89,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,15.0,0.0,210.0,,430.0,300.0,250000.0,22.0,22.0,3.0,yes,no,no,no,no,no,no,no,straight,primary,80.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,5,CV-0004-e755838550ec,e755838550ec5bf7d37d5d6ba35bab19491ad1b5b585dd7e578d7bf9723a84b5,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,210.0,,430.0,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,96.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,6,CV-0005-d78784a5e835,d78784a5e835f7c15267abe49ff69cf33ecec77191e42e90aefc7142e8acd796,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,610.0,,1280.0,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,77.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,7,CV-0006-592f9802dc18,592f9802dc18e533b6a9ea17f8ecd6e2684817cff189eed93b09c4b9ca93cd25,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,420.0,,,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,80.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,8,CV-0007-7168c2dad485,7168c2dad4855d1087b36f34e967f8dea9dab75d90659bc60b2c2458f5363be4,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,210.0,,,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,85.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,9,CV-0008-3a953acd55f4,3a953acd55f4b4823c96a7bd6c1181ca66c322ec53269220a8be229e4b889239,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,180.0,,,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,76.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,10,CV-0009-0cead524da82,0cead524da8256fd6ef590c42f8eeac931d4f2e8588b4c9828820cef1293b6bd,,False,False,doi:10.1089/ten.a.2007.0158,ref:fedorovich et al 2008,Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,150.0,,,300.0,250000.0,4.0,22.0,0.208,yes,no,no,no,no,no,no,no,straight,primary,79.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,11,CV-0010-3516ef41b276,3516ef41b2762eaa120f711ff9ea77bdf889b2c1c697854c8fbf74e425471b63,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,,0.0,210.0,,1052.1,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,98.0,yes,yes,True,
