meta_dataset,meta_processing_version,meta_source_filename,meta_original_data_row,meta_row_id,meta_row_sha256,meta_duplicate_group_id,meta_is_in_duplicate_group,meta_is_duplicate_beyond_first,meta_primary_source_id,meta_sensitivity_source_id,reference,final_alginate_conc_pctw_or_v,final_gelatin_conc_pctw_or_v,final_gelma_conc_pctw_or_v,final_hyaluronic_acid_conc_pctw_or_v,final_meha_conc_pctw_or_v,final_norha_conc_pctw_or_v,final_fibroin_or_fibrinogen_concentration_pct_wv,final_p127_conc_pctw_or_v,final_collagen_conc_pctw_or_v,final_tcp_concentration_pct_wv,final_gellan_conc_pctw_or_v,final_nano_or_methylcellulose_concentration_pct_wv,final_pegda_concentration_pct_wv,final_agarose_concentration_pct_wv,cacl2_conc_mm,source_nacl2_concentration_mm,bacl2_conc_mm,srcl2_conc_mm,physical_crosslinking_duration_s,photocrosslinking_duration_s,extrusion_pressure_kpa,extrusion_rate_lengthwise_mm_or_s,extrusion_rate_volume_wise_ml_or_s,nozzle_movement_speed_mm_or_s,inner_nozzle_outer_diameter_um,outer_nozzle_inner_diameter_um,filament_diameter_um,cell_density_cells_or_ml,syringe_temperature_degc,substrate_temperature_degc,days_observed,construct_base_area_mm_2,construct_total_thickness_mm,cell_culture_medium_used,di_water_used,precrosslinking_solution_used,saline_solution_used,etoh_solution_used,photoinitiator_used,enzymatic_crosslinker_used,conical_or_straight_nozzle,acceptable_filament_diameter_yes_or_no,filament_to_nozzle_ratio,log_filament_to_nozzle_ratio,meta_included_in_primary,meta_primary_exclusion_reason
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,2,FD-0001-8ce25e81d3cb,8ce25e81d3cb8c1e00e04fc685f8416987e4ae74a8fa4eb8cdf5828c0aeb0d52,,False,False,ref:fedorovich dhe22 tissueeng 2008,,Fedorovich_Dhe22_TissueEng 2008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,,0.0,210.0,430.0,250000.0,22.0,22.0,0.208,400.0,2.0,yes,no,no,no,no,no,no,straight,no,2.0476190476190474,0.7166776779701394,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,3,FD-0002-9163398d4f51,9163398d4f516c160d682e3af8f3b9b3895877421de7562da827491ca523f97d,,False,False,ref:fedorovich dhe22 tissueeng 2008,,Fedorovich_Dhe22_TissueEng 2008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,,0.0,210.0,430.0,250000.0,22.0,22.0,1.0,400.0,2.0,yes,no,no,no,no,no,no,straight,no,2.0476190476190474,0.7166776779701394,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,4,FD-0003-7a00f7b4b842,7a00f7b4b8427495778534fd83900c8dcbedcc953b15130179e0e5e72d1cbcad,,False,False,ref:fedorovich dhe22 tissueeng 2008,,Fedorovich_Dhe22_TissueEng 2008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,199.9,16.67,,15.0,0.0,210.0,430.0,250000.0,22.0,22.0,3.0,400.0,2.0,yes,no,no,no,no,no,no,straight,no,2.0476190476190474,0.7166776779701394,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,5,FD-0004-a20d17b7f9d8,a20d17b7f9d8cc50fe4ba0c3e04bcec4ede44132654e01ede4cae4bfb10c8f55,,False,False,ref:fedorovich dhe22 tissueeng 2008,,Fedorovich_Dhe22_TissueEng 2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,210.0,430.0,250000.0,4.0,22.0,0.208,400.0,2.0,yes,no,no,no,no,no,no,straight,no,2.0476190476190474,0.7166776779701394,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,6,FD-0005-4383d12e3347,4383d12e33470e20ee15b04055be1828bf053f6090deaed653045d52b97ab982,,False,False,ref:fedorovich dhe22 tissueeng 2008,,Fedorovich_Dhe22_TissueEng 2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9,16.67,,15.0,0.0,610.0,1280.0,250000.0,4.0,22.0,0.208,400.0,2.0,yes,no,no,no,no,no,no,straight,no,2.098360655737705,0.741156399746306,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,7,FD-0006-776a54f0469e,776a54f0469e9a7ba67fad8966314203c7b6aba3fc3da13430634fc141b42337,,False,False,ref:soltan chen acsbiomat 2019,,Soltan_Chen_ACSBiomat_2019,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,,0.0,210.0,1052.1,1000000.0,26.0,22.0,0.0,121.0,2.5,no,yes,no,no,yes,no,no,straight,no,5.01,1.6114359150967734,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,8,FD-0007-15ace2415f39,15ace2415f390daada0516dbbbf35e0c660a302e4ca5f60627007845ce35f3d0,,False,False,ref:soltan chen acsbiomat 2019,,Soltan_Chen_ACSBiomat_2019,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,1103.09,1000000.0,26.0,22.0,7.0,121.0,2.5,no,yes,no,no,yes,no,no,straight,no,5.252809523809524,1.658763080855522,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,9,FD-0008-47b40f574931,47b40f574931fd7f1ac694889900e0cbed1f8568344200c194b4288e64e1e1f6,,False,False,ref:soltan chen acsbiomat 2019,,Soltan_Chen_ACSBiomat_2019,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,917.23,1000000.0,26.0,22.0,0.0,121.0,2.5,no,yes,no,no,yes,no,no,straight,no,4.367761904761905,1.474250727973855,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,10,FD-0009-89aa6365b999,89aa6365b9999ef33d8c8c028426cb1829d46208e7e06346d6ba906e4bc8c689,,False,False,ref:soltan chen acsbiomat 2019,,Soltan_Chen_ACSBiomat_2019,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,1132.66,1000000.0,26.0,22.0,7.0,121.0,2.5,no,yes,no,no,yes,no,no,straight,no,5.393619047619048,1.6852165970137922,True,
filament_diameter,1.0.0,Filament diameter dataset V1 (1).csv,11,FD-0010-38e50d5ab007,38e50d5ab007387f2bf056c014df11c6423b7598b3fd47811d8f9e3a58c180cc,,False,False,ref:soltan chen acsbiomat 2019,,Soltan_Chen_ACSBiomat_2019,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,1015.34,1000000.0,26.0,22.0,0.0,121.0,2.5,no,yes,no,no,yes,no,no,straight,no,4.834952380952381,1.575871280036154,True,
