Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No)
Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,250000,22,22,0.208,400,2,Y,N,N,N,N,N,N,S,N
Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,250000,22,22,1,400,2,Y,N,N,N,N,N,N,S,N
Fedorovich_Dhe22_TissueEng 2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,15,0,210,430,250000,22,22,3,400,2,Y,N,N,N,N,N,N,S,N
Fedorovich_Dhe22_TissueEng 2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,210,430,250000,4,22,0.208,400,2,Y,N,N,N,N,N,N,S,N
Fedorovich_Dhe22_TissueEng 2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,610,1280,250000,4,22,0.208,400,2,Y,N,N,N,N,N,N,S,N
Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,,0,210,1052.1,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1103.09,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,917.23,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1132.66,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1015.34,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1560.65,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,909.19,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,858.15,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,833.96,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N
Li_Li_ACSApplMatInterf_2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,370.2,3000000,37,22,0,,,N,N,Y,Y,N,N,N,S,N
Li_Li_ACSApplMatInterf_2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,336.92,3000000,37,22,5,,,N,N,Y,Y,N,N,N,S,N
Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,287.01,1000000,,22,1,,,Y,N,N,Y,N,N,Y,S,N
Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,308.09,1000000,,22,4,,,Y,N,N,Y,N,N,Y,S,N
Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,328.74,1000000,,22,10,,,Y,N,N,Y,N,N,Y,S,N
