dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_rank
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,cell_density_cells_or_ml,0.18404374901978862,536.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,conical_or_straight_nozzle,0.23832699833423593,474.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,days_observed,0.7034599060200253,162.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_pressure_kpa,1.2091136201785053,33.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_rate_lengthwise_mm_or_s,0.5703552555612804,214.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_rate_volume_wise_ml_or_s,0.7610924487589272,129.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,final_alginate_conc_pctw_or_v,0.7384790580295048,138.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,final_nano_or_methylcellulose_concentration_pct_wv,0.7227937692774106,147.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,physical_crosslinking_duration_s,0.8117300672752219,116.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,syringe_temperature_degc,0.729538229660845,142.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,cell_density_cells_or_ml,0.5266023118187424,237.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,conical_or_straight_nozzle,1.116203460512112,44.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,days_observed,0.6449534038228355,184.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_pressure_kpa,1.3395614211701354,22.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_rate_lengthwise_mm_or_s,0.8590402982918072,98.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_rate_volume_wise_ml_or_s,0.9447713899811017,72.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,final_alginate_conc_pctw_or_v,0.5125116810098496,244.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,final_nano_or_methylcellulose_concentration_pct_wv,1.3121896729749625,27.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,physical_crosslinking_duration_s,0.39040201937672553,328.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,syringe_temperature_degc,0.9197317375089538,80.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,cell_density_cells_or_ml,0.35776919819099234,344.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,conical_or_straight_nozzle,1.0147976733221082,58.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,days_observed,0.9359740699132654,74.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_pressure_kpa,2.210311157966986,3.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_rate_lengthwise_mm_or_s,0.46408103062561923,273.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_rate_volume_wise_ml_or_s,1.6227075930890398,14.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,final_alginate_conc_pctw_or_v,0.740598404341718,135.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,final_nano_or_methylcellulose_concentration_pct_wv,0.9276455801682064,77.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,physical_crosslinking_duration_s,0.47964673634959554,264.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,syringe_temperature_degc,0.6353891239826639,188.0
