dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_feature_count,task_rank
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,cell_density_cells_or_ml,0.1840437490197886,44,25.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,conical_or_straight_nozzle,0.2383269983342359,44,19.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,days_observed,0.7034599060200253,44,9.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_pressure_kpa,1.209113620178505,44,2.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_rate_lengthwise_mm_or_s,0.5703552555612804,44,11.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,extrusion_rate_volume_wise_ml_or_s,0.7610924487589272,44,4.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,final_alginate_conc_pctw_or_v,0.7384790580295048,44,6.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,final_nano_or_methylcellulose_concentration_pct_wv,0.7227937692774106,44,8.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,physical_crosslinking_duration_s,0.8117300672752219,44,3.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f01,syringe_temperature_degc,0.729538229660845,44,7.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,cell_density_cells_or_ml,0.5266023118187424,44,10.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,conical_or_straight_nozzle,1.116203460512112,44,3.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,days_observed,0.6449534038228355,44,8.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_pressure_kpa,1.3395614211701354,44,1.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_rate_lengthwise_mm_or_s,0.8590402982918072,44,6.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,extrusion_rate_volume_wise_ml_or_s,0.9447713899811016,44,4.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,final_alginate_conc_pctw_or_v,0.5125116810098496,44,11.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,final_nano_or_methylcellulose_concentration_pct_wv,1.3121896729749625,44,2.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,physical_crosslinking_duration_s,0.3904020193767255,44,14.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f02,syringe_temperature_degc,0.9197317375089538,44,5.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,cell_density_cells_or_ml,0.3577691981909923,44,14.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,conical_or_straight_nozzle,1.0147976733221082,44,3.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,days_observed,0.9359740699132654,44,4.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_pressure_kpa,2.210311157966986,44,1.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_rate_lengthwise_mm_or_s,0.4640810306256192,44,10.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,extrusion_rate_volume_wise_ml_or_s,1.6227075930890398,44,2.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,final_alginate_conc_pctw_or_v,0.740598404341718,44,7.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,final_nano_or_methylcellulose_concentration_pct_wv,0.9276455801682064,44,5.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,physical_crosslinking_duration_s,0.4796467363495955,44,9.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f03,syringe_temperature_degc,0.6353891239826639,44,8.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,cell_density_cells_or_ml,1.1505492630701677,44,1.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,conical_or_straight_nozzle,1.0639448605034976,44,2.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,days_observed,0.9100991264333717,44,5.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_pressure_kpa,0.9756721519102932,44,4.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_rate_lengthwise_mm_or_s,0.8046757446067802,44,6.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_rate_volume_wise_ml_or_s,1.0392022955798594,44,3.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,final_alginate_conc_pctw_or_v,0.6799286389185021,44,9.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,final_nano_or_methylcellulose_concentration_pct_wv,0.5372839346493238,44,12.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,physical_crosslinking_duration_s,0.7638680908889669,44,7.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,syringe_temperature_degc,0.7078378156341374,44,8.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,cell_density_cells_or_ml,0.3977206847115927,44,14.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,conical_or_straight_nozzle,0.4182882769767252,44,13.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,days_observed,0.6707307657805622,44,10.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_pressure_kpa,1.7682935077258135,44,1.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_rate_lengthwise_mm_or_s,0.7285073975771807,44,7.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_rate_volume_wise_ml_or_s,0.1450298100803956,44,23.0
