target_key,validation_design,contrast_key,focal_model,focal_model_display_name,comparator_model,comparator_model_display_name,n_paired_publications,focal_macro_mae,comparator_macro_mae,mean_difference_focal_minus_comparator,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,favorable_direction,favorable_mean_direction,favorable_ci_excludes_zero,adjusted_p_value_holm,claim_support
cell_viability,random_rowwise,conditional_vs_marginal,merf_conditional,Conditional MERF,merf_marginal,Marginal MERF,75,8.222603859551787,8.222603859551787,2.4276876805136755e-16,-2.3684757858670006e-16,7.194245199571015e-16,1.0,negative,False,False,1.0,Not supported
cell_viability,random_rowwise,conditional_vs_matched_fixed_rf,merf_conditional,Conditional MERF,matched_fixed_rf,Matched fixed Random Forest,75,8.222603859551787,8.26541295682202,-0.04280909727023592,-0.08283336164381809,-0.00297770930965015,0.038339233215335694,negative,True,True,0.3281334373312534,Directionally supported but statistically uncertain
cell_viability,random_rowwise,conditional_vs_tuned_rf,merf_conditional,Conditional MERF,tuned_rf_reference,Tuned Random Forest,75,8.222603859551787,7.8394693738020065,0.38313448574977904,0.13589836337974492,0.6202423592153542,0.0033399332013359733,negative,False,False,0.036739265214695706,Not supported
cell_viability,publication_grouped,conditional_vs_marginal,merf_conditional,Conditional MERF,merf_marginal,Marginal MERF,75,11.990364513451075,11.990364513451075,-1.3618735768735253e-16,-6.692424392440442e-16,3.730349362740526e-16,1.0,negative,True,False,1.0,Directionally supported but statistically uncertain
cell_viability,publication_grouped,conditional_vs_matched_fixed_rf,merf_conditional,Conditional MERF,matched_fixed_rf,Matched fixed Random Forest,75,11.990364513451075,11.97753353339421,0.012830980056866443,-0.054158511828731076,0.07903877314398261,0.7097658046839064,negative,False,False,1.0,Not supported
cell_viability,publication_grouped,conditional_vs_tuned_rf,merf_conditional,Conditional MERF,tuned_rf_reference,Tuned Random Forest,75,11.990364513451075,11.685263256076604,0.30510125737447186,-0.08543746817796367,0.6916916232747854,0.12913741725165498,negative,False,False,0.9039619207615849,Not supported
filament_diameter,random_rowwise,conditional_vs_marginal,merf_conditional,Conditional MERF,merf_marginal,Marginal MERF,54,151.89859969329143,174.6253670025498,-22.72676730925829,-34.484316929697734,-12.726990084373641,1.999960000799984e-05,negative,True,True,0.0002799944001119978,Strongly supported
filament_diameter,random_rowwise,conditional_vs_matched_fixed_rf,merf_conditional,Conditional MERF,matched_fixed_rf,Matched fixed Random Forest,54,151.89859969329143,158.2746071473993,-6.3760074541078655,-12.593169997405441,-0.9780944446411856,0.03645927081458371,negative,True,True,0.3281334373312534,Directionally supported but statistically uncertain
filament_diameter,random_rowwise,conditional_vs_tuned_rf,merf_conditional,Conditional MERF,tuned_rf_reference,Tuned Random Forest,54,151.89859969329143,142.2743728996945,9.624226793596936,2.188015112029824,17.826155121328025,0.013919721605567889,negative,False,False,0.1391972160556789,Not supported
filament_diameter,publication_grouped,conditional_vs_marginal,merf_conditional,Conditional MERF,merf_marginal,Marginal MERF,54,293.4550847974522,293.4550847974522,1.1842378929335002e-15,-6.710681393289835e-15,9.473903143468002e-15,1.0,negative,False,False,1.0,Not supported
filament_diameter,publication_grouped,conditional_vs_matched_fixed_rf,merf_conditional,Conditional MERF,matched_fixed_rf,Matched fixed Random Forest,54,293.4550847974522,288.43875862546696,5.016326171985247,-4.267429474560236,14.923026351373874,0.31893362132757347,negative,False,False,1.0,Not supported
filament_diameter,publication_grouped,conditional_vs_tuned_rf,merf_conditional,Conditional MERF,tuned_rf_reference,Tuned Random Forest,54,293.4550847974522,290.24103923471563,3.2140455627366444,-9.99393523040501,15.529603993485114,0.6342873142537149,negative,False,False,1.0,Not supported
cell_viability,grouped_minus_random,grouped_minus_random_conditional_merf,merf_conditional_grouped,"Conditional MERF, publication-grouped",merf_conditional_random,"Conditional MERF, random row-wise",75,11.990364513451075,8.222603859551787,3.7677606538992903,2.7888226219984373,4.809346418672918,1.999960000799984e-05,positive,True,True,0.0002799944001119978,Strongly supported
filament_diameter,grouped_minus_random,grouped_minus_random_conditional_merf,merf_conditional_grouped,"Conditional MERF, publication-grouped",merf_conditional_random,"Conditional MERF, random row-wise",54,293.4550847974522,151.89859969329143,141.55648510416077,106.89767419700283,177.40165951215252,1.999960000799984e-05,positive,True,True,0.0002799944001119978,Strongly supported
