original_feature,publication_count,macro_publication_mean_absolute_shap,importance_bootstrap_ci_lower,importance_bootstrap_ci_upper,importance_rank,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,bootstrap_top_3_frequency,bootstrap_top_5_frequency,bootstrap_top_10_frequency,dataset,target_key,target_label,unit,feature_set,model_variant,model_display_name,task_count,task_importance_mean,task_importance_sd,task_rank_mean,task_rank_median,task_rank_q1,task_rank_q3,task_top_3_frequency,task_top_5_frequency,task_top_10_frequency,rank_stability_category,primary_top_10
extrusion_pressure_kpa,75,1.4017967997464589,1.2142231175578746,1.604115382231438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,1.408854368675248,0.3999496092802785,34.56,31.0,10.0,45.0,0.04,0.12,0.28,Low rank stability,True
final_nano_or_methylcellulose_concentration_pct_wv,75,0.9575837236150143,0.7637513867035041,1.2236474235608468,2.0,2.0,2.0,5.0,0.9118,0.9928,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.958840042270357,0.5508704842536571,127.84,89.0,46.0,164.0,0.04,0.04,0.04,Low rank stability,True
extrusion_rate_volume_wise_ml_or_s,75,0.9308816637007381,0.6709706811025349,1.260912826002765,3.0,3.0,2.0,6.0,0.7704,0.9344,0.9998,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.9225002161408423,0.605693602462612,166.96,83.0,49.0,186.0,0.04,0.04,0.04,Low rank stability,True
conical_or_straight_nozzle,75,0.7788921117862617,0.6702407590927079,0.8934828802364326,4.0,4.0,3.0,7.0,0.1651,0.8138,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.770141507250576,0.38961625420680124,181.12,119.0,56.0,302.0,0.0,0.0,0.04,Low rank stability,True
days_observed,75,0.7672664841598204,0.6746509706022763,0.8680739005003815,5.0,5.0,3.0,6.0,0.0804,0.8084,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.7675166159868091,0.13737910021692953,137.2,132.0,104.0,175.0,0.0,0.0,0.0,Low rank stability,True
extrusion_rate_lengthwise_mm_or_s,75,0.7157456213586707,0.561113530491116,0.8822627920475286,6.0,6.0,3.0,9.0,0.0715,0.3896,0.9921,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.7169649872569417,0.25753668015197784,172.96,166.0,105.0,214.0,0.0,0.0,0.0,Low rank stability,True
final_alginate_conc_pctw_or_v,75,0.6507832038788622,0.5749285164012242,0.7269263583149018,7.0,7.0,5.0,9.0,0.0006,0.0454,0.999,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.6526793273634643,0.15559180607280257,187.68,167.0,137.0,205.0,0.0,0.0,0.0,Low rank stability,True
syringe_temperature_degc,75,0.6038756245371263,0.506152477214812,0.7163405720941962,8.0,8.0,6.0,11.0,0.0002,0.0152,0.973,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.5984008849509673,0.22956949450145342,223.04,226.0,149.0,315.0,0.0,0.0,0.0,Low rank stability,True
physical_crosslinking_duration_s,75,0.5786084949642891,0.5137234707456191,0.645780301068564,9.0,9.0,7.0,11.0,0.0,0.0004,0.9431,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.5799540933560499,0.174930414250707,225.88,211.0,161.0,268.0,0.0,0.0,0.0,Low rank stability,True
cell_density_cells_or_ml,75,0.554375032032149,0.47591693151104897,0.6352284222172185,10.0,10.0,7.0,12.0,0.0,0.0,0.8497,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,0.5464878492951535,0.28512475381055,264.96,283.0,130.0,344.0,0.0,0.0,0.0,Low rank stability,True
