dataset,dataset_label,meta_primary_source_id,row_count
cell_viability,Cell viability,doi:10.1002/adfm.201700798,4
cell_viability,Cell viability,doi:10.1002/adhm.201500677,7
cell_viability,Cell viability,doi:10.1002/adhm.201601451,9
cell_viability,Cell viability,doi:10.1002/adhm.201801631,3
cell_viability,Cell viability,doi:10.1002/adhm.201901544,4
cell_viability,Cell viability,doi:10.1002/adhm.201901792,4
cell_viability,Cell viability,doi:10.1002/adma.201305506,10
cell_viability,Cell viability,doi:10.1002/adma.201503310,9
cell_viability,Cell viability,doi:10.1002/adma.201604983,15
cell_viability,Cell viability,doi:10.1002/adma.201703443,13
cell_viability,Cell viability,doi:10.1002/biot.200900004,12
cell_viability,Cell viability,doi:10.1002/jbm.a.34420,2
cell_viability,Cell viability,doi:10.1002/jbm.a.36036,4
cell_viability,Cell viability,doi:10.1002/mabi.201600472,42
cell_viability,Cell viability,doi:10.1002/smll.201905505,18
cell_viability,Cell viability,doi:10.1002/term.1682,4
cell_viability,Cell viability,doi:10.1007/s00289-020-03421-y,1
cell_viability,Cell viability,doi:10.1007/s10439-016-1704-5,30
cell_viability,Cell viability,doi:10.1007/s10856-019-6258-2,3
cell_viability,Cell viability,doi:10.1007/s13205-018-1341-9,3
cell_viability,Cell viability,doi:10.1016/j.actbio.2014.06.034,9
cell_viability,Cell viability,doi:10.1016/j.actbio.2014.09.023,4
cell_viability,Cell viability,doi:10.1016/j.actbio.2014.09.033,4
cell_viability,Cell viability,doi:10.1016/j.actbio.2018.10.028,8
cell_viability,Cell viability,doi:10.1016/j.actbio.2020.07.016,6
cell_viability,Cell viability,doi:10.1016/j.addma.2020.101640,4
cell_viability,Cell viability,doi:10.1016/j.biomaterials.2015.05.031,6
cell_viability,Cell viability,doi:10.1016/j.biomaterials.2016.07.038,9
cell_viability,Cell viability,doi:10.1016/j.jmbbm.2017.12.018,3
cell_viability,Cell viability,doi:10.1016/j.mtbio.2020.100078,5
cell_viability,Cell viability,doi:10.1021/acs.biomac.5b00188,2
cell_viability,Cell viability,doi:10.1021/acs.biomac.9b01204,12
cell_viability,Cell viability,doi:10.1021/acsami.7b04216,3
cell_viability,Cell viability,doi:10.1021/acsami.7b16059,12
cell_viability,Cell viability,doi:10.1021/acsami.9b09782,6
cell_viability,Cell viability,doi:10.1021/acsbiomaterials.9b00167,12
cell_viability,Cell viability,doi:10.1038/s41598-017-17286-1,2
cell_viability,Cell viability,doi:10.1038/s41598-018-26407-3,20
cell_viability,Cell viability,doi:10.1038/s41598-019-55034-9,15
cell_viability,Cell viability,doi:10.1038/s41598-020-65050-9,18
cell_viability,Cell viability,doi:10.1038/srep29977,3
cell_viability,Cell viability,doi:10.1039/c3bm00012e,6
cell_viability,Cell viability,doi:10.1039/c4bm00234b,3
cell_viability,Cell viability,doi:10.1088/0960-1317/22/8/085014,4
cell_viability,Cell viability,doi:10.1088/1758-5082/5/2/025004,3
cell_viability,Cell viability,doi:10.1088/1758-5082/6/2/024105,9
cell_viability,Cell viability,doi:10.1088/1758-5082/6/3/035001,4
cell_viability,Cell viability,doi:10.1088/1758-5090/7/4/044101,3
cell_viability,Cell viability,doi:10.1088/1758-5090/7/4/044102,10
cell_viability,Cell viability,doi:10.1088/1758-5090/7/4/045012,11
cell_viability,Cell viability,doi:10.1088/1758-5090/8/3/035020,14
cell_viability,Cell viability,doi:10.1088/1758-5090/8/4/045001,4
cell_viability,Cell viability,doi:10.1088/1758-5090/8/4/045002,4
cell_viability,Cell viability,doi:10.1088/1758-5090/8/4/045005,1
