outcome_key,outcome_label,unit,meta_primary_source_id,row_count,outcome_mean,outcome_median,outcome_minimum,outcome_maximum,outcome_standard_deviation,ordered_publication_rank,ordered_rank_fraction
cell_viability,Cell viability,%,doi:10.1088/1758-5090/8/3/035020,14,51.50714285714286,57.05,3.9,92.3,31.400084867247248,1,0.013333333333333334
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab7553,4,53.775,54.905,44.91,60.38,7.846852872330415,2,0.02666666666666667
cell_viability,Cell viability,%,doi:10.18063/ijb.v6i1.250,2,55.05,55.05,54.1,56.0,1.3435028842544419,3,0.04
cell_viability,Cell viability,%,doi:10.1038/s41598-020-65050-9,18,56.422222222222224,51.6,41.2,76.7,11.969842278952832,4,0.05333333333333334
cell_viability,Cell viability,%,doi:10.1089/ten.a.2007.0004,21,60.94285714285714,64.6,42.8,85.0,11.877902652765403,5,0.06666666666666667
cell_viability,Cell viability,%,doi:10.1002/adma.201503310,9,61.388888888888886,74.0,28.0,83.4,21.296622058700088,6,0.08
cell_viability,Cell viability,%,doi:10.1039/c4bm00234b,3,61.666666666666664,68.0,33.0,84.0,26.083200212652844,7,0.09333333333333334
cell_viability,Cell viability,%,doi:10.18063/ijb.v5i2.2.204,19,62.04736842105264,62.6,43.5,81.0,9.893789770527363,8,0.10666666666666667
cell_viability,Cell viability,%,doi:10.1002/jbm.a.36036,4,63.925,68.8,22.5,95.6,31.188926988062068,9,0.12
cell_viability,Cell viability,%,doi:10.1002/biot.200900004,12,67.91666666666667,68.5,47.0,84.0,14.51305577329557,10,0.13333333333333333
cell_viability,Cell viability,%,doi:10.1115/1.4024575,30,68.81833333333334,68.5,31.0,98.0,20.119310004507394,11,0.14666666666666667
cell_viability,Cell viability,%,doi:10.1007/s10439-016-1704-5,30,69.51666666666667,66.75,49.0,94.0,14.092969226149446,12,0.16
cell_viability,Cell viability,%,doi:10.1088/1758-5082/6/3/035001,4,73.5,76.0,47.0,95.0,20.074859899884732,13,0.17333333333333334
cell_viability,Cell viability,%,doi:10.1088/1758-5090/abc39b,14,73.65071428571427,74.0,62.05,86.3,6.402890530288424,14,0.18666666666666668
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2014.06.034,9,74.44444444444444,90.0,20.0,95.0,31.863423823841934,15,0.2
cell_viability,Cell viability,%,doi:10.1002/adma.201305506,10,74.65,76.5,61.0,82.0,6.948421083638756,16,0.21333333333333335
cell_viability,Cell viability,%,doi:10.1016/j.biomaterials.2015.05.031,6,75.05,77.69999999999999,50.2,92.9,15.368376622141978,17,0.22666666666666666
cell_viability,Cell viability,%,doi:10.1088/1758-5090/8/4/045002,4,75.375,75.55,72.4,78.0,2.6209095113465186,18,0.24
cell_viability,Cell viability,%,doi:10.1088/1758-5090/8/4/045001,4,75.7,76.05,66.2,84.5,9.540440241414439,19,0.25333333333333335
cell_viability,Cell viability,%,doi:10.1021/acs.biomac.9b01204,12,76.18333333333334,73.9,70.3,87.0,5.968376257535641,20,0.26666666666666666
cell_viability,Cell viability,%,doi:10.1088/1758-5090/7/4/044102,10,76.914,76.595,60.93,91.57,10.813853460569304,21,0.28
cell_viability,Cell viability,%,doi:10.1038/srep29977,3,77.76666666666667,81.0,60.3,92.0,16.095444490082695,22,0.29333333333333333
cell_viability,Cell viability,%,doi:10.1002/adhm.201801631,3,77.80333333333334,76.17,74.26,82.98,4.583713923592234,23,0.30666666666666664
cell_viability,Cell viability,%,doi:10.1021/acs.biomac.5b00188,2,78.65,78.65,72.7,84.6,8.414570696119904,24,0.32
cell_viability,Cell viability,%,doi:10.1088/1758-5090/7/4/044101,3,79.94333333333333,92.25,54.94,92.64,21.654399860844297,25,0.3333333333333333
cell_viability,Cell viability,%,doi:10.1038/s41598-019-55034-9,15,80.19066666666666,87.77,45.65,98.23,18.382200811292073,26,0.3466666666666667
cell_viability,Cell viability,%,doi:10.1115/1.3128729,4,80.33500000000001,80.465,75.67,84.74,4.920789232091397,27,0.36
cell_viability,Cell viability,%,doi:10.1021/acsami.9b09782,6,80.48333333333333,80.94999999999999,69.1,89.5,7.449407135246855,28,0.37333333333333335
cell_viability,Cell viability,%,doi:10.1002/adhm.201901544,4,80.975,81.5,75.3,85.6,4.2983523975278395,29,0.38666666666666666
cell_viability,Cell viability,%,doi:10.1016/j.biomaterials.2016.07.038,9,80.98888888888888,83.8,70.1,90.4,8.095900883231655,30,0.4
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab15cb,6,81.38333333333334,80.7,79.0,85.0,2.44656221393748,31,0.41333333333333333
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab19fd,8,81.4925,85.5,55.3,95.88,12.753777871673947,32,0.4266666666666667
cell_viability,Cell viability,%,doi:10.1089/ten.tec.2007.0392,6,82.0,82.0,79.0,85.0,2.280350850198275,33,0.44
cell_viability,Cell viability,%,doi:10.1089/ten.a.2007.0158,9,82.33333333333333,80.0,72.0,96.0,8.5,34,0.4533333333333333
cell_viability,Cell viability,%,doi:10.1002/jbm.a.34420,2,83.0,83.0,81.4,84.6,2.262741699796944,35,0.4666666666666667
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2018.10.028,8,83.0625,82.35,71.6,95.9,8.716476598128072,36,0.48
cell_viability,Cell viability,%,doi:10.1002/adhm.201601451,9,83.11111111111111,85.8,69.0,91.0,8.265204843868732,37,0.49333333333333335
cell_viability,Cell viability,%,doi:10.1089/ten.tec.2015.0307,10,83.31,84.25,76.0,90.75,4.304844815889293,38,0.5066666666666667
cell_viability,Cell viability,%,doi:10.1021/acsami.7b16059,12,83.68333333333334,91.85,62.7,94.7,12.449011157030858,39,0.52
cell_viability,Cell viability,%,doi:10.1088/1758-5082/6/2/024105,9,85.5,85.7,68.2,96.9,9.134960317374125,40,0.5333333333333333
cell_viability,Cell viability,%,doi:10.1038/s41598-017-17286-1,2,86.02250000000001,86.02250000000001,85.02,87.025,1.4177490962790296,41,0.5466666666666666
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab0692,4,86.405,86.885,71.85,100.0,13.947172951294949,42,0.56
cell_viability,Cell viability,%,doi:10.1002/smll.201905505,18,86.60555555555555,92.0,34.6,95.9,15.12452127476601,43,0.5733333333333334
cell_viability,Cell viability,%,doi:10.1088/1758-5090/8/4/045005,1,86.92,86.92,86.92,86.92,,44,0.5866666666666667
cell_viability,Cell viability,%,doi:10.1002/adfm.201700798,4,87.5,90.0,80.0,90.0,4.999999999999999,45,0.6
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab2622,9,87.54444444444444,88.0,84.2,91.9,2.815186988066296,46,0.6133333333333333
cell_viability,Cell viability,%,doi:10.1088/1758-5090/7/4/045012,11,88.35454545454546,92.0,61.0,96.0,9.897612200562683,47,0.6266666666666667
cell_viability,Cell viability,%,doi:10.1038/s41598-018-26407-3,20,88.425,87.85,83.9,92.3,2.63276420676465,48,0.64
cell_viability,Cell viability,%,doi:10.1007/s10856-019-6258-2,3,88.46666666666665,87.6,84.8,93.0,4.168133075290827,49,0.6533333333333333
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2020.07.016,6,88.61666666666667,87.95,85.0,92.8,3.080530257385355,50,0.6666666666666666
cell_viability,Cell viability,%,doi:10.1007/s13205-018-1341-9,3,88.85666666666667,88.88,85.35,92.34,3.495058416297695,51,0.68
cell_viability,Cell viability,%,doi:10.1002/adhm.201500677,7,90.0,92.0,76.0,96.0,7.000000000000002,52,0.6933333333333334
cell_viability,Cell viability,%,doi:10.1021/acsbiomaterials.9b00167,12,90.45833333333333,93.5,73.0,99.5,9.978290829535275,53,0.7066666666666667
cell_viability,Cell viability,%,doi:10.1002/term.1682,4,90.5,90.5,85.0,96.0,6.350852961085882,54,0.72
cell_viability,Cell viability,%,doi:10.3390/polym12102346,2,91.0,91.0,90.17,91.83,1.1737972567696664,55,0.7333333333333333
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2014.09.023,4,92.05,92.65,86.7,96.2,4.456081986079997,56,0.7466666666666667
cell_viability,Cell viability,%,doi:10.1002/adma.201604983,15,92.08,92.6,86.3,96.9,4.1111694547554585,57,0.76
cell_viability,Cell viability,%,doi:10.1002/mabi.201600472,42,92.12452380952381,95.395,43.16,99.8,10.55083101625487,58,0.7733333333333333
cell_viability,Cell viability,%,doi:10.1088/1758-5090/aa7b1d,8,92.2125,92.15,89.3,95.0,2.0237429961054114,59,0.7866666666666666
cell_viability,Cell viability,%,doi:10.1016/j.jmbbm.2017.12.018,3,92.33333333333333,92.3,89.0,95.7,3.350124375800594,60,0.8
cell_viability,Cell viability,%,doi:10.1002/adhm.201901792,4,92.975,93.1,87.6,98.1,4.980210838910338,61,0.8133333333333334
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2014.09.033,4,93.0,97.0,80.0,98.0,8.679477710861024,62,0.8266666666666667
cell_viability,Cell viability,%,doi:10.1088/0960-1317/22/8/085014,4,93.05,93.75,89.5,95.2,2.4664414311581266,63,0.84
