dataset,feature,feature_label,data_type,include_core_physics,include_prospective_design,include_full_retrospective,missing_count,missing_percent,unique_nonmissing_values
cell_viability,final_alginate_conc_pctw_or_v,Final alginate conc % w/v,numeric,True,True,True,0,0.0,19
cell_viability,final_gelatin_conc_pctw_or_v,Final gelatin conc % w/v,numeric,True,True,True,0,0.0,14
cell_viability,final_gelma_conc_pctw_or_v,Final gelma conc % w/v,numeric,True,True,True,0,0.0,11
cell_viability,final_hyaluronic_acid_conc_pctw_or_v,Final hyaluronic acid conc % w/v,numeric,False,True,True,0,0.0,5
cell_viability,final_meha_conc_pctw_or_v,Final meha conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_norha_conc_pctw_or_v,Final norha conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_fibroin_or_fibrinogen_concentration_pct_wv,Final fibroin or fibrinogen concentration % w/v,numeric,False,True,True,0,0.0,6
cell_viability,final_p127_conc_pctw_or_v,Final p127 conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_collagen_conc_pctw_or_v,Final collagen conc % w/v,numeric,False,True,True,1,0.1644736842105263,4
cell_viability,final_chitosan_conc_pctw_or_v,Final chitosan conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_cs_aema_conc_pctw_or_v,Final cs aema conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_tcp_conc_pctw_or_v,Final tcp conc % w/v,numeric,False,True,True,0,0.0,2
cell_viability,final_gellan_conc_pctw_or_v,Final gellan conc % w/v,numeric,False,True,True,0,0.0,3
cell_viability,final_nano_or_methylcellulose_concentration_pct_wv,Final nano or methylcellulose concentration % w/v,numeric,False,True,True,0,0.0,7
cell_viability,final_pegta_conc_pctw_or_v,Final pegta conc % w/v,numeric,False,True,True,0,0.0,1
cell_viability,final_pegma_conc_pctw_or_v,Final pegma conc % w/v,numeric,False,True,True,1,0.1644736842105263,1
cell_viability,final_pegda_conc_pctw_or_v,Final pegda conc % w/v,numeric,False,True,True,0,0.0,3
cell_viability,final_agarose_conc_pctw_or_v,Final agarose conc % w/v,numeric,False,True,True,0,0.0,4
cell_viability,cacl2_conc_mm,Cacl2 conc mm,numeric,True,True,True,34,5.592105263157895,15
cell_viability,source_nacl2_concentration_mm,Source nacl2 concentration mm,numeric,False,True,True,4,0.6578947368421052,6
cell_viability,bacl2_conc_mm,Bacl2 conc mm,numeric,False,True,True,0,0.0,3
cell_viability,srcl2_conc_mm,Srcl2 conc mm,numeric,False,True,True,0,0.0,3
cell_viability,physical_crosslinking_duration_s,Physical crosslinking duration s,numeric,True,True,True,134,22.039473684210524,14
cell_viability,photocrosslinking_duration_s,Photocrosslinking duration s,numeric,True,True,True,0,0.0,16
cell_viability,extrusion_pressure_kpa,Extrusion pressure (kpa),numeric,True,True,True,257,42.26973684210527,54
cell_viability,extrusion_rate_lengthwise_mm_or_s,Extrusion rate lengthwise (mm/s),numeric,False,True,True,509,83.7171052631579,15
cell_viability,extrusion_rate_volume_wise_ml_or_s,Extrusion rate volume wise (ml/s),numeric,False,True,True,417,68.58552631578947,16
cell_viability,nozzle_movement_speed_mm_or_s,Nozzle movement speed (mm/s),numeric,True,True,True,324,53.289473684210535,27
cell_viability,inner_nozzle_outer_diameter_um,Inner nozzle outer diameter (µm),numeric,False,True,True,0,0.0,8
cell_viability,outer_nozzle_inner_diameter_um,Outer nozzle inner diameter (µm),numeric,True,True,True,13,2.138157894736842,35
cell_viability,fiber_diameter_um,Fiber diameter (µm),numeric,False,False,True,277,45.55921052631579,194
cell_viability,fiber_spacing_um,Fiber spacing (µm),numeric,False,False,True,382,62.82894736842105,30
cell_viability,cell_density_cells_or_ml,Cell density (cells/ml),numeric,True,True,True,10,1.644736842105263,24
cell_viability,syringe_temperature_degc,Syringe temperature (°c),numeric,True,True,True,215,35.36184210526316,21
cell_viability,substrate_temperature_degc,Substrate temperature (°c),numeric,True,True,True,114,18.75,13
cell_viability,days_observed,Days observed,numeric,True,True,True,0,0.0,27
cell_viability,cell_culture_medium_used,Cell culture medium used,categorical,False,True,True,0,0.0,2
cell_viability,di_water_used,Di water used,categorical,False,True,True,0,0.0,2
cell_viability,precrosslinking_solution_used,Precrosslinking solution used,categorical,False,True,True,0,0.0,2
cell_viability,saline_solution_used,Saline solution used,categorical,False,True,True,0,0.0,2
cell_viability,etoh_solution_used,Etoh solution used,categorical,False,True,True,0,0.0,2
cell_viability,photoinitiator_used,Photoinitiator used,categorical,False,True,True,0,0.0,2
cell_viability,enzymatic_crosslinker_used,Enzymatic crosslinker used,categorical,False,True,True,0,0.0,2
cell_viability,matrigel_used,Matrigel used,categorical,False,True,True,0,0.0,2
cell_viability,conical_or_straight_nozzle,Conical or straight nozzle,categorical,True,True,True,25,4.111842105263158,2
cell_viability,primary_or_not_primary,Primary or not primary,categorical,True,True,True,0,0.0,2
filament_diameter,final_alginate_conc_pctw_or_v,Final alginate conc % w/v,numeric,True,True,True,0,0.0,14
filament_diameter,final_gelatin_conc_pctw_or_v,Final gelatin conc % w/v,numeric,True,True,True,0,0.0,13
filament_diameter,final_gelma_conc_pctw_or_v,Final gelma conc % w/v,numeric,True,True,True,0,0.0,11
filament_diameter,final_hyaluronic_acid_conc_pctw_or_v,Final hyaluronic acid conc % w/v,numeric,False,True,True,0,0.0,4
