dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat_count,prediction_rows_per_repeat_minimum,prediction_rows_per_repeat_maximum,mae_mean,mae_sd,median_absolute_error_mean,median_absolute_error_sd,rmse_mean,rmse_sd,bias_mean,bias_sd,r2_mean,r2_sd,pearson_r_mean,pearson_r_sd,calibration_intercept_mean,calibration_intercept_sd,calibration_slope_mean,calibration_slope_sd,macro_publication_mae_mean,macro_publication_mae_sd,macro_publication_rmse_mean,macro_publication_rmse_sd,macro_publication_absolute_bias_mean,macro_publication_absolute_bias_sd,publication_mean_mae_mean,publication_mean_mae_sd,publication_mean_rmse_mean,publication_mean_rmse_sd,publication_mean_r2_mean,publication_mean_r2_sd,publication_mean_pearson_r_mean,publication_mean_pearson_r_sd,source_seen_fraction_mean,source_seen_fraction_sd,fallback_fraction_mean,fallback_fraction_sd
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,608,608,13.687738220541974,,12.240934256055368,,17.22525447680576,,0.024181970759952032,,-0.027842637476318766,,-0.5886441261257301,,2103.1290763162656,,-25.382172257918803,,12.590561964402315,,14.025441197996997,,9.945139152083145,,9.945139152083145,,12.047360492239962,,-0.08087144116389267,,-0.7420360154551352,,0.0,,0.0,
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,5,608,608,13.682999964587172,0.07160307927694627,12.250547760285958,0.1767519931953249,17.20870998165301,0.08848465826383005,-0.0025468541873211142,0.0021685696309060843,-0.025890841228047856,0.010539458779983604,-0.21018505762694145,0.047786255179901926,398.12782984866794,0.9403354988443705,-3.9958000614612446,0.011903468618785246,12.61891512133597,0.06937356206925878,14.067146594427157,0.07827782246332114,9.99188047912831,0.11621532639098323,9.99188047912831,0.11621532639098323,12.07611477020675,0.08846602415168472,-0.08608380802299558,0.015905706718147103,-0.19203668863530415,0.08084361380232681,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,random_rowwise,5,608,608,13.511944313703287,0.02077357303526975,12.07490012548482,0.056165446661017755,17.026025654978504,0.023607765741391652,0.000679111454340709,0.0003469909969981799,-0.004205442733789288,0.00278464717063249,-0.08187672090643845,0.03133093572278648,398.9209150531866,1.099924415048837,-4.005589540531003,0.013799687977629295,12.51140467614646,0.034040990714372325,13.94904960861345,0.03601709798305015,9.825656372094326,0.028015874878539234,9.825656372094322,0.02801587487853894,11.903331706881454,0.0281410103765872,-0.05518654405337457,0.0049889248620831675,-0.12042483489362743,0.12022930646466203,0.9861842105263158,0.007131409009433802,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,608,608,12.972574013157896,,10.200000000000003,,17.848210013864502,,5.160485197368421,,-0.10353133871876108,,-0.42085928942319245,,2786.501956316769,,-31.89919697488315,,11.193117895282105,,13.031792403943806,,9.274799934724147,,9.274799934724145,,11.946875700399941,,-0.06291594142095591,,-0.5389640999892789,,0.0,,0.0,
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,publication_grouped,5,608,608,13.097057565789475,0.10601899854508005,10.296499999999998,0.11176985282266667,17.917638634961616,0.08362617434273023,5.126422697368421,0.056027500031905444,-0.11215277830198529,0.010368343037183333,-0.17903312677810426,0.04359533138638149,389.17389761570655,36.768045897466166,-3.648596314203067,0.4332351549783399,11.323237277677489,0.10019245686414406,13.125611002696512,0.08238494335352198,9.38930660139081,0.11096973160881882,9.38930660139081,0.11096973160881825,12.022924244145361,0.09465064322320788,-0.07654449340587362,0.016956534555298428,-0.15249967552196259,0.05549743070565906,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,5,608,608,12.88458717105263,0.011039569986170769,10.08,0.057008771254958644,17.767366989272126,0.008733332567376966,5.138583881578947,0.02043063942492385,-0.09355735464069843,0.001075059596113333,-0.06030101978894814,0.037175639153713316,442.3404480864809,198.67299504065082,-4.274883470634562,2.341673972395004,11.159462823465034,0.020124225411223492,12.994299994598808,0.017711759406919256,9.203784053864265,0.01294471703467685,9.203784053864265,0.012944717034675977,11.879894168813347,0.01272821418178426,-0.0510315976966214,0.0022534782106977402,-0.13132617717242528,0.07790833159676336,0.9861842105263158,0.007131409009433802,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,608,608,13.687738220541974,,12.240934256055368,,17.22525447680576,,0.024181970759952032,,-0.027842637476318766,,-0.5886441261257301,,2103.1290763162656,,-25.382172257918803,,12.590561964402315,,14.025441197996997,,9.945139152083145,,9.945139152083145,,12.047360492239962,,-0.08087144116389267,,-0.7420360154551352,,0.0,,1.0,
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,5,608,608,13.682999964587172,0.07160307927694627,12.250547760285958,0.1767519931953249,17.20870998165301,0.08848465826383005,-0.0025468541873211142,0.0021685696309060843,-0.025890841228047856,0.010539458779983604,-0.21018505762694145,0.047786255179901926,398.12782984866794,0.9403354988443705,-3.9958000614612446,0.011903468618785246,12.61891512133597,0.06937356206925878,14.067146594427157,0.07827782246332114,9.99188047912831,0.11621532639098323,9.99188047912831,0.11621532639098323,12.07611477020675,0.08846602415168472,-0.08608380802299558,0.015905706718147103,-0.19203668863530415,0.08084361380232681,0.0,0.0,1.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,5,608,608,9.267837514299881,0.19018196961491732,6.135103535353531,0.3314423016226439,13.43068553017061,0.253132166910079,-0.011989334797744926,0.16109943602939503,0.3749495159122128,0.023364633199058956,0.621043786369943,0.016174280902266202,11.336102228881645,2.0775514411522993,0.8578613476612708,0.024978477716199814,8.656707280699507,0.2749761425740467,9.88846953771145,0.23260059801839214,1.4124261513140068,0.1716753773905719,1.4124261513140066,0.1716753773905716,3.70894917144082,0.41974221256433636,0.8965050581897256,0.024809370666163285,0.9482981377545114,0.013543531353560418,0.9861842105263158,0.007131409009433802,0.013815789473684208,0.007131409009433816
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,leave_one_publication_out,1,286,286,338.83109688192036,,319.7988295373666,,422.43939895211724,,-3.1407498414882484,,-0.048797567555594945,,-0.8013120750055488,,20716.51299185689,,-26.839086585719524,,357.1348389067964,,376.04117786255404,,350.2517366446578,,350.2517366446578,,395.3858120012437,,-0.08894583660606825,,-0.8011032761027402,,0.0,,0.0,
