dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,prediction_rows,publication_count,source_seen_fraction,fallback_fraction,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,608,75,0.0,0.0,13.687738220541974,12.240934256055368,17.22525447680576,0.024181970759952032,-0.027842637476318766,-0.5886441261257301,2103.1290763162656,-25.382172257918803,12.590561964402315,14.025441197996997,9.945139152083145,9.945139152083145,12.047360492239962,-0.08087144116389267,-0.7420360154551352
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,1,608,75,0.0,0.0,13.584502843783511,12.101211498973328,17.079097831174543,-0.0013076006741726293,-0.01047410491681644,-0.13628222633015352,397.7313964223818,-3.990763185674597,12.58643229931475,14.014518208710085,9.922607598509313,9.922607598509313,12.012745654073697,-0.07466917963930375,-0.21120594697910572
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,2,608,75,0.0,0.0,13.628745834475772,12.199669715060715,17.16945364727342,-0.0014823710411556665,-0.021194077060815886,-0.19375589447610006,397.42361621625787,-3.9869098674753154,12.53180182983063,13.97625250051107,9.854577424689584,9.854577424689584,11.96486058941907,-0.06611858865794606,-0.07929672085758362
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,3,608,75,0.0,0.0,13.741437422183504,12.117815951360896,17.311808041466612,-0.005512124043076146,-0.038198009158622925,-0.26088214915588864,399.0932816046097,-4.008063739375396,12.605264797471689,14.04909702395996,9.95868081230109,9.95868081230109,12.080279358248434,-0.08678637564038394,-0.14377745095736075
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,4,608,75,0.0,0.0,13.730561923957817,12.533276748971197,17.25123068350116,-0.0041042434268937795,-0.030945010753892888,-0.23484508106691554,399.1809758555316,-4.009093365665809,12.657760045509626,14.140874433254297,10.127966429627293,10.127966429627293,12.147809306866023,-0.0989708220979515,-0.2445372955122929
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,publication_grouped,5,608,75,0.0,0.0,13.729751798535254,12.300764887063657,17.2319597048493,-0.00032793175130735026,-0.028643004250091142,-0.22515993710564947,397.2098791445587,-3.984170149115104,12.713316634553163,14.154990805700379,10.095570130514277,10.095570130514277,12.174878942426533,-0.10387407407939264,-0.2813660288701779
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,random_rowwise,1,608,75,0.9884868421052632,0.0,13.492140629009656,12.12828445973922,17.001581141816377,0.00011063138403651158,-0.0013224678070673512,-0.048517167743039574,398.82239961470117,-4.004381957456703,12.484334307510645,13.916651623053067,9.806931185485388,9.806931185485388,11.887126306598237,-0.05231069643761521,-0.11743671222864807
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,random_rowwise,2,608,75,0.9917763157894737,0.0,13.486608375942694,12.026512345678995,17.0017491489632,0.0006572297734348998,-0.0013422577502106847,-0.04881797097031828,398.1099701806393,-3.9954150663690444,12.472616615795943,13.907277004913652,9.791106522341082,9.79110652234108,11.867707504370047,-0.04887539646952521,0.08320023675349134
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,random_rowwise,3,608,75,0.9736842105263158,0.0,13.527760597066395,12.123566018962144,17.04294792630819,0.0010180092158938244,-0.006201059038131618,-0.10523163654992475,399.76756872035264,-4.016196110601667,12.557799117997119,13.992106899883895,9.858724679570512,9.85872467957051,11.930753480010704,-0.060049082727791525,-0.16413293460709238
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,random_rowwise,4,608,75,0.9884868421052632,0.0,13.524157948342525,12.00553205355709,17.053116096676707,0.0008806519179112483,-0.007402057353204539,-0.1145459557489107,397.6383162389023,-3.9894856596800126,12.526426758521993,13.969916460655497,9.84795734580826,9.847957345808258,11.932654943270627,-0.06038700019620857,-0.22605188268294665
