dataset,target_key,target_family,target_column,target_label,unit,validation_design,repeat,global_mean_mae,global_mean_rmse,global_mean_macro_publication_mae,global_mean_publication_mean_mae,global_mean_r2,source_mean_mae,source_mean_rmse,source_mean_macro_publication_mae,source_mean_publication_mean_mae,source_mean_r2,source_seen_fraction,fallback_fraction,delta_mae_source_minus_global,relative_mae_change_percent,delta_rmse_source_minus_global,delta_macro_publication_mae,delta_publication_mean_mae
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,leave_one_publication_out,1,13.687738220541974,17.22525447680576,12.590561964402315,9.945139152083145,-0.027842637476318766,13.687738220541974,17.22525447680576,12.590561964402315,9.945139152083145,-0.027842637476318766,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,publication_grouped,1,13.584502843783511,17.079097831174543,12.58643229931475,9.922607598509313,-0.01047410491681644,13.584502843783511,17.079097831174543,12.58643229931475,9.922607598509313,-0.01047410491681644,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,publication_grouped,2,13.628745834475772,17.16945364727342,12.53180182983063,9.854577424689584,-0.021194077060815886,13.628745834475772,17.16945364727342,12.53180182983063,9.854577424689584,-0.021194077060815886,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,publication_grouped,3,13.741437422183504,17.311808041466612,12.605264797471689,9.95868081230109,-0.038198009158622925,13.741437422183504,17.311808041466612,12.605264797471689,9.95868081230109,-0.038198009158622925,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,publication_grouped,4,13.730561923957817,17.25123068350116,12.657760045509626,10.127966429627293,-0.030945010753892888,13.730561923957817,17.25123068350116,12.657760045509626,10.127966429627293,-0.030945010753892888,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,publication_grouped,5,13.729751798535254,17.2319597048493,12.713316634553163,10.095570130514277,-0.028643004250091142,13.729751798535254,17.2319597048493,12.713316634553163,10.095570130514277,-0.028643004250091142,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,random_rowwise,1,13.492140629009656,17.001581141816377,12.484334307510645,9.806931185485388,-0.0013224678070673512,9.356385395123024,13.499560107472039,8.705321821017373,1.3124950594690956,0.3687017725981644,0.9884868421052632,0.011513157894736841,-4.135755233886632,-30.653069424686265,-3.502021034344338,-3.779012486493272,-8.494436126016293
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,random_rowwise,2,13.486608375942694,17.0017491489632,12.472616615795943,9.79110652234108,-0.0013422577502106847,9.172461326732403,13.392115051803861,8.578697113216307,1.3505844157690334,0.37871097860206127,0.9917763157894737,0.008223684210526315,-4.314147049210291,-31.988376387541827,-3.609634097159338,-3.893919502579635,-8.440522106572047
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,random_rowwise,3,13.527760597066395,17.04294792630819,12.557799117997119,9.85872467957051,-0.006201059038131618,9.459619233660716,13.661587217866327,8.954729718744709,1.6884473352153118,0.3534566425292027,0.9736842105263158,0.02631578947368421,-4.0681413634056796,-30.07254108479632,-3.381360708441864,-3.6030693992524103,-8.170277344355199
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,random_rowwise,4,13.524157948342525,17.053116096676707,12.526426758521993,9.847957345808258,-0.007402057353204539,9.36752645478239,13.585251328714413,8.813169562721908,1.4586583468123893,0.3606617460148075,0.9884868421052632,0.011513157894736841,-4.156631493560136,-30.734863563683525,-3.4678647679622934,-3.713257195800084,-8.38929899899587
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,random_rowwise,5,13.52905401815516,17.030733961128057,12.515846580906603,9.823562127266378,-0.0047593717203322505,8.983195161200877,13.014913944996414,8.23161818779724,1.2519455993042024,0.413216439816828,0.9884868421052632,0.011513157894736841,-4.545858856954283,-33.60071480869261,-4.015820016131643,-4.2842283931093625,-8.571616527962176
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,leave_one_publication_out,1,338.83109688192036,422.43939895211724,357.1348389067964,350.2517366446578,-0.048797567555594945,338.83109688192036,422.43939895211724,357.1348389067964,350.2517366446578,-0.048797567555594945,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,publication_grouped,1,330.45622336078463,415.16311029993005,351.46360742774465,344.78445419699176,-0.012978792599960709,330.45622336078463,415.16311029993005,351.46360742774465,344.78445419699176,-0.012978792599960709,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,publication_grouped,2,337.1622859307053,421.68945401350294,357.5347317961435,350.97950028239575,-0.045077070520162854,337.1622859307053,421.68945401350294,357.5347317961435,350.97950028239575,-0.045077070520162854,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,publication_grouped,3,331.32582796932246,418.08213982054355,351.89367942715734,345.7705855929246,-0.027273463891421823,331.32582796932246,418.08213982054355,351.89367942715734,345.7705855929246,-0.027273463891421823,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,publication_grouped,4,338.1937078868213,424.2580820646394,356.10396957306534,349.9426295768532,-0.057847558429058976,338.1937078868213,424.2580820646394,356.10396957306534,349.9426295768532,-0.057847558429058976,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,publication_grouped,5,343.26002200595315,428.92418859870656,359.6324524855859,353.3320855358921,-0.08124451191375726,343.26002200595315,428.92418859870656,359.6324524855859,353.3320855358921,-0.08124451191375726,0.0,1.0,0.0,0.0,0.0,0.0,0.0
