global_task_number,task_id,outcome_key,validation_design,repeat,row_count,source_count,positive_count,negative_count,source_seen_fraction,balanced_accuracy,roc_auc,average_precision,f1,precision,sensitivity,specificity,accuracy,brier_score,log_loss,true_negative,false_positive,false_negative,true_positive
1,step18__cell_viability__publication_grouped__r01,cell_viability,publication_grouped,1,608,75,371,237,0.0,0.5937141037451522,0.6107623369385968,0.7076023384712303,0.7520564042303173,0.6666666666666666,0.862533692722372,0.3248945147679324,0.6529605263157895,0.2267639224297379,0.6448338848753776,77,160,51,320
2,step18__cell_viability__publication_grouped__r02,cell_viability,publication_grouped,2,608,75,371,237,0.0,0.5965232522433381,0.655845189759687,0.7264262765214723,0.7739032620922385,0.6640926640926641,0.9272237196765498,0.2658227848101265,0.6694078947368421,0.2199539367889228,0.6311549790177137,63,174,27,344
3,step18__cell_viability__publication_grouped__r03,cell_viability,publication_grouped,3,608,75,371,237,0.0,0.6020335050667031,0.6995803336858986,0.7397978814607894,0.767816091954023,0.6693386773547094,0.9002695417789758,0.3037974683544304,0.6677631578947368,0.2129681431198762,0.6168336874647355,72,165,37,334
4,step18__cell_viability__publication_grouped__r04,cell_viability,publication_grouped,4,608,75,371,237,0.0,0.6277593913132485,0.7276092667781229,0.774827554060803,0.7829099307159353,0.6848484848484848,0.9137466307277629,0.3417721518987341,0.6907894736842105,0.2045523353958695,0.598144450360679,81,156,32,339
5,step18__cell_viability__publication_grouped__r05,cell_viability,publication_grouped,5,608,75,371,237,0.0,0.5733221877239074,0.662896493682259,0.7233993689092407,0.7324613555291319,0.6553191489361702,0.8301886792452831,0.3164556962025316,0.6299342105263158,0.2197083453952344,0.6306962700412323,75,162,63,308
6,step18__cell_viability__random_rowwise__r01,cell_viability,random_rowwise,1,608,75,371,237,0.9884868421052632,0.7565764782148828,0.8616238470549432,0.9054964017606432,0.7994467496542186,0.8210227272727273,0.7789757412398922,0.7341772151898734,0.7615131578947368,0.149643050767949,0.4537050828582331,174,63,82,289
7,step18__cell_viability__random_rowwise__r02,cell_viability,random_rowwise,2,608,75,371,237,0.9917763157894736,0.7654247273306265,0.8670942941303581,0.910402810813996,0.8088033012379643,0.8258426966292135,0.7924528301886793,0.7383966244725738,0.7713815789473685,0.1465439608853623,0.4459205186705248,175,62,77,294
8,step18__cell_viability__random_rowwise__r03,cell_viability,random_rowwise,3,608,75,371,237,0.9884868421052632,0.7613816006459904,0.8599804383181502,0.9060757527934729,0.8038674033149171,0.8243626062322946,0.784366576819407,0.7383966244725738,0.7664473684210527,0.1506961154984619,0.4555214313853514,175,62,80,291
9,step18__cell_viability__random_rowwise__r04,cell_viability,random_rowwise,4,608,75,371,237,0.9802631578947368,0.7798400946239494,0.867344501688901,0.9080932315135845,0.821917808219178,0.8356545961002786,0.8086253369272237,0.7510548523206751,0.7861842105263158,0.1450775159561002,0.4422094017708189,178,59,71,300
10,step18__cell_viability__random_rowwise__r05,cell_viability,random_rowwise,5,608,75,371,237,0.986842105263158,0.7714012760585486,0.8547260795887498,0.8998765132623134,0.8174386920980926,0.8264462809917356,0.8086253369272237,0.7341772151898734,0.7796052631578947,0.1522869352939675,0.4629756827831148,174,63,71,300
