dataset,target_key,feature_set,model_variant,model_display_name,task_count,feature_count,pairwise_task_comparison_count,mean_pairwise_task_rank_spearman,median_pairwise_task_rank_spearman,minimum_pairwise_task_rank_spearman,maximum_pairwise_task_rank_spearman,kendall_rank_concordance_w,kendall_total_tie_correction,kendall_denominator
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,300,0.4667023809523809,0.49642857142857133,-0.18928571428571428,0.9535714285714283,0.4880342857142857,0.0,2100000.0
cell_viability,cell_viability,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,300,0.5095238095238095,0.5428571428571428,-0.0964285714285714,0.9678571428571429,0.5291428571428571,0.0,2100000.0
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,46,300,0.8968246450357734,0.8969835338564812,0.7870187696513095,0.980194982239758,0.9009548632965318,1368.0,60772050.0
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,300,0.8823716962231786,0.8836385165039504,0.7694444810930354,0.9699922940514196,0.8870811493776343,882.0,60784200.0
cell_viability,cell_viability,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,300,0.8986037323105558,0.8992296634788657,0.7959529191666742,0.9825142996357166,0.902662176113189,1368.0,53178300.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,300,0.8952254279352603,0.8976405793193547,0.761313971521218,0.9830096726482794,0.8994212780837486,846.0,53191350.0
filament_diameter,filament_diameter,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,300,0.6425787545787546,0.6923076923076923,0.054945054945054944,0.9428571428571428,0.6568756043956044,0.0,1706250.0
filament_diameter,filament_diameter,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,300,0.5967179487179487,0.6483516483516484,0.07692307692307693,0.9252747252747253,0.6128492307692308,0.0,1706250.0
filament_diameter,filament_diameter,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,300,0.834987558831928,0.8445853315607494,0.6709847257518855,0.9491223505983931,0.8415959316737527,1488.0,39937800.0
filament_diameter,filament_diameter,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,40,300,0.8254492378148802,0.8330088552468823,0.6479456281459698,0.950207468879668,0.8324282568185668,5190.0,39845250.0
filament_diameter,filament_diameter,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,38,300,0.8310254943105799,0.8366303288646013,0.6805716050202072,0.9484231786418126,0.8377876695524167,1362.0,34237200.0
filament_diameter,filament_diameter,prospective_design,tuned_rf_reference,Tuned Random Forest,25,38,300,0.812011433154948,0.815930263425025,0.6217788115512725,0.9490616636189352,0.8195170607819141,2976.0,34196850.0
