dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_feature_count,task_rank
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,cacl2_conc_mm,0.359894976298159,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,cell_density_cells_or_ml,0.4929338712418242,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,conical_or_straight_nozzle,0.3132726020323693,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,days_observed,1.332608853425653,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,extrusion_pressure_kpa,1.6378622950060258,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,final_alginate_conc_pctw_or_v,1.2373505789593051,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,final_gelatin_conc_pctw_or_v,1.4513499275941082,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,final_gelma_conc_pctw_or_v,0.0869363216579946,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,nozzle_movement_speed_mm_or_s,0.8093880931846493,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,outer_nozzle_inner_diameter_um,0.4974814235408603,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,photocrosslinking_duration_s,0.557810417341429,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,physical_crosslinking_duration_s,0.6848261618249196,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,primary_or_not_primary,0.4431744362812274,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,substrate_temperature_degc,1.545337884415115,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f01,syringe_temperature_degc,2.900164269286956,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,cacl2_conc_mm,0.2373020068327392,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,cell_density_cells_or_ml,0.7161698312858983,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,conical_or_straight_nozzle,2.4600467106570942,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,days_observed,0.6554914304272028,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,extrusion_pressure_kpa,2.0905477409562656,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,final_alginate_conc_pctw_or_v,1.0011370855210635,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,final_gelatin_conc_pctw_or_v,0.3522284306753072,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,final_gelma_conc_pctw_or_v,0.1213694477526554,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,nozzle_movement_speed_mm_or_s,0.466655793281463,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,outer_nozzle_inner_diameter_um,0.3632086719675079,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,photocrosslinking_duration_s,1.4415560569560446,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,physical_crosslinking_duration_s,0.514446367709931,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,primary_or_not_primary,0.2872770110347924,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,substrate_temperature_degc,1.0242104816473,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f02,syringe_temperature_degc,0.8925363791991292,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,cacl2_conc_mm,1.648682003054918,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,cell_density_cells_or_ml,0.7025343052713175,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,conical_or_straight_nozzle,1.1131343825626454,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,days_observed,1.3455707474152234,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,extrusion_pressure_kpa,3.495229832448622,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,final_alginate_conc_pctw_or_v,0.9971812882028696,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,final_gelatin_conc_pctw_or_v,0.5379329674495029,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,final_gelma_conc_pctw_or_v,0.1128121305581025,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,nozzle_movement_speed_mm_or_s,0.807509275263701,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,outer_nozzle_inner_diameter_um,0.5742713392238727,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,photocrosslinking_duration_s,0.807509603719413,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,physical_crosslinking_duration_s,0.4043766983824465,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,primary_or_not_primary,0.2607070092216576,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,substrate_temperature_degc,0.6192945090722098,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f03,syringe_temperature_degc,0.623417679317673,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,cacl2_conc_mm,0.2380954065741019,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,cell_density_cells_or_ml,2.5167180973867422,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,conical_or_straight_nozzle,1.5742029721001505,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,days_observed,0.8644347074241334,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,extrusion_pressure_kpa,1.7230961857539755,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,final_alginate_conc_pctw_or_v,1.4848736181429296,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,final_gelatin_conc_pctw_or_v,0.7720740280554022,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,final_gelma_conc_pctw_or_v,0.0624503872483911,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,nozzle_movement_speed_mm_or_s,0.2048354555804371,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,outer_nozzle_inner_diameter_um,0.6135670658603698,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,photocrosslinking_duration_s,0.3321558904826111,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,physical_crosslinking_duration_s,1.241473049604307,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,primary_or_not_primary,0.1380598980299549,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,substrate_temperature_degc,1.1448194927109598,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,syringe_temperature_degc,1.255768386264574,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,cacl2_conc_mm,0.2258038225172987,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,cell_density_cells_or_ml,0.5345339797072327,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,conical_or_straight_nozzle,0.627667119588269,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,days_observed,0.666081069672386,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,extrusion_pressure_kpa,2.2648326205206994,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_alginate_conc_pctw_or_v,0.6726555759526235,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_gelatin_conc_pctw_or_v,1.2714662251594897,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_gelma_conc_pctw_or_v,0.2821262071404408,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,nozzle_movement_speed_mm_or_s,1.1220638033698616,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,outer_nozzle_inner_diameter_um,1.6126198425782965,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,photocrosslinking_duration_s,0.4994257595031051,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,physical_crosslinking_duration_s,1.2989894234887462,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,primary_or_not_primary,0.6345117504499383,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,substrate_temperature_degc,0.3946034022309567,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,syringe_temperature_degc,0.5530881509702132,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,cacl2_conc_mm,0.2377955605588057,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,cell_density_cells_or_ml,0.826560732461818,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,conical_or_straight_nozzle,2.0798159665161733,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,days_observed,0.4776512881867597,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,extrusion_pressure_kpa,1.3718605089651512,15,3.0
