target_key,validation_design,contrast_key,focal_model,focal_model_display_name,comparator_model,comparator_model_display_name,n_paired_publications,focal_macro_mae,comparator_macro_mae,mean_difference_focal_minus_comparator,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,favorable_direction,favorable_mean_direction,favorable_ci_excludes_zero,adjusted_p_value_holm,claim_support
cell_viability,grouped_minus_random,grouped_minus_random_conditional_random_intercept_rf,conditional_random_intercept_rf_grouped,"Conditional random-intercept RF, publication-grouped",conditional_random_intercept_rf_random,"Conditional random-intercept RF, random row-wise",75,11.9378707356355,8.156103424281417,3.7817673113540855,2.772287410235743,4.833975011491966,1.999960000799984e-05,positive,True,True,0.0002799944001119,Strongly supported
cell_viability,publication_grouped,conditional_vs_marginal,random_intercept_rf_conditional,Conditional random-intercept RF,random_intercept_rf_marginal,Marginal random-intercept RF,75,11.9378707356355,11.9378707356355,0.0,0.0,0.0,1.0,negative,False,False,1.0,Not supported
cell_viability,publication_grouped,conditional_vs_matched_fixed_rf,random_intercept_rf_conditional,Conditional random-intercept RF,matched_fixed_rf,Matched fixed Random Forest,75,11.9378707356355,11.982691592383508,-0.0448208567480052,-0.0711334825039362,-0.016570077664083,0.0019199616007679,negative,True,True,0.0172796544069118,Strongly supported
cell_viability,publication_grouped,conditional_vs_tuned_rf,random_intercept_rf_conditional,Conditional random-intercept RF,tuned_rf_reference,Tuned Random Forest,75,11.9378707356355,11.688655942082276,0.2492147935532286,-0.1405480983501787,0.6346877009035246,0.2213355732885342,negative,False,False,1.0,Not supported
cell_viability,random_rowwise,conditional_vs_marginal,random_intercept_rf_conditional,Conditional random-intercept RF,random_intercept_rf_marginal,Marginal random-intercept RF,75,8.156103424281417,8.156103424281417,0.0,0.0,0.0,1.0,negative,False,False,1.0,Not supported
cell_viability,random_rowwise,conditional_vs_matched_fixed_rf,random_intercept_rf_conditional,Conditional random-intercept RF,matched_fixed_rf,Matched fixed Random Forest,75,8.156103424281417,8.216349924140726,-0.0602464998593092,-0.086585766761812,-0.0344213482984743,7.999840003199936e-05,negative,True,True,0.0009599808003839,Strongly supported
cell_viability,random_rowwise,conditional_vs_tuned_rf,random_intercept_rf_conditional,Conditional random-intercept RF,tuned_rf_reference,Tuned Random Forest,75,8.156103424281417,7.868645936886441,0.2874574873949744,0.040555996617144,0.5304708001159893,0.0263594728105437,negative,False,False,0.2108757824843503,Not supported
filament_diameter,grouped_minus_random,grouped_minus_random_conditional_random_intercept_rf,conditional_random_intercept_rf_grouped,"Conditional random-intercept RF, publication-grouped",conditional_random_intercept_rf_random,"Conditional random-intercept RF, random row-wise",54,286.3172991310125,147.70933379820266,138.60796533280975,103.15740351670308,175.02522057623827,1.999960000799984e-05,positive,True,True,0.0002799944001119,Strongly supported
filament_diameter,publication_grouped,conditional_vs_marginal,random_intercept_rf_conditional,Conditional random-intercept RF,random_intercept_rf_marginal,Marginal random-intercept RF,54,286.3172991310125,286.3172991310125,0.0,0.0,0.0,1.0,negative,False,False,1.0,Not supported
filament_diameter,publication_grouped,conditional_vs_matched_fixed_rf,random_intercept_rf_conditional,Conditional random-intercept RF,matched_fixed_rf,Matched fixed Random Forest,54,286.3172991310125,285.6153087294477,0.7019904015647592,-0.2020407903224292,1.6070903629514726,0.1398172036559268,negative,False,False,0.978720425591488,Not supported
filament_diameter,publication_grouped,conditional_vs_tuned_rf,random_intercept_rf_conditional,Conditional random-intercept RF,tuned_rf_reference,Tuned Random Forest,54,286.3172991310125,291.5757194519763,-5.258420320963903,-16.20977910238779,4.615632005656816,0.3327333453330933,negative,True,False,1.0,Directionally supported but statistically uncertain
filament_diameter,random_rowwise,conditional_vs_marginal,random_intercept_rf_conditional,Conditional random-intercept RF,random_intercept_rf_marginal,Marginal random-intercept RF,54,147.70933379820266,158.99714908796517,-11.287815289762474,-18.67486050027628,-4.845169474296251,0.0007399852002959,negative,True,True,0.0081398372032559,Strongly supported
filament_diameter,random_rowwise,conditional_vs_matched_fixed_rf,random_intercept_rf_conditional,Conditional random-intercept RF,matched_fixed_rf,Matched fixed Random Forest,54,147.70933379820266,158.4757492732041,-10.76641547500141,-18.459590281785736,-4.240388168501587,0.0013799724005519,negative,True,True,0.0137997240055198,Strongly supported
filament_diameter,random_rowwise,conditional_vs_tuned_rf,random_intercept_rf_conditional,Conditional random-intercept RF,tuned_rf_reference,Tuned Random Forest,54,147.70933379820266,141.97649668224656,5.73283711595613,-1.4917947864140364,14.05702431118963,0.1573568528629427,negative,False,False,0.978720425591488,Not supported
