dataset,target_key,target_column,target_label,unit,analysis_role,meta_primary_source_id,source_rows,source_observed_mean,source_observed_sd,source_minimum,source_maximum,lmm_fixed_intercept,lmm_random_intercept,lmm_conditional_source_mean,shrinkage_difference,absolute_random_intercept,random_intercept_rank
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adfm.201700798,4,87.5,4.999999999999999,80.0,90.0,81.76930058019815,4.189061307818332,85.95836188801648,-1.5416381119835165,4.189061307818332,53
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adhm.201500677,7,90.0,7.000000000000002,76.0,96.0,81.76930058019815,6.800576400195065,88.56987698039322,-1.430123019606782,6.800576400195065,33
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adhm.201601451,9,83.11111111111111,8.265204843868732,69.0,91.0,81.76930058019815,1.1531918257852032,82.92249240598335,-0.1886187051277659,1.1531918257852032,65
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adhm.201801631,3,77.80333333333334,4.583713923592234,74.26,82.98,81.76930058019815,-2.6604964881361184,79.10880409206203,1.3054707587286885,2.6604964881361184,57
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adhm.201901544,4,80.975,4.2983523975278395,75.3,85.6,81.76930058019815,-0.5806226401943749,81.18867794000377,0.2136779400037767,0.5806226401943749,71
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adhm.201901792,4,92.975,4.980210838910338,87.6,98.1,81.76930058019815,8.191209907874965,89.96051048807311,-3.0144895119268824,8.191209907874965,28
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adma.201305506,10,74.65,6.948421083638756,61.0,82.0,81.76930058019815,-6.205773118897071,75.56352746130108,0.9135274613010722,6.205773118897071,36
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adma.201503310,9,61.388888888888886,21.296622058700088,28.0,83.4,81.76930058019815,-17.515531162632946,64.2537694175652,2.8648805286763093,17.515531162632946,6
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adma.201604983,15,92.08,4.1111694547554585,86.3,96.9,81.76930058019815,9.38926187062237,91.15856245082051,-0.9214375491794868,9.38926187062237,22
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/adma.201703443,13,96.76923076923077,0.9927945535915372,95.4,98.1,81.76930058019815,13.47417598192215,95.24347656212029,-1.5257542071104808,13.47417598192215,9
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/biot.200900004,12,67.91666666666667,14.51305577329557,47.0,84.0,81.76930058019815,-12.338988880741761,69.43031169945638,1.5136450327897109,12.338988880741761,12
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/jbm.a.34420,2,83.0,2.262741699796944,81.4,84.6,81.76930058019815,0.7089158470042473,82.4782164272024,-0.5217835727976023,0.7089158470042473,69
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/jbm.a.36036,4,63.925,31.188926988062068,22.5,95.6,81.76930058019815,-13.04393471890957,68.72536586128858,4.800365861288583,13.04393471890957,10
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/mabi.201600472,42,92.12452380952381,10.55083101625487,43.16,99.8,81.76930058019815,10.004572334581884,91.77387291478003,-0.3506508947437794,10.004572334581884,19
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/smll.201905505,18,86.60555555555555,15.12452127476601,34.6,95.9,81.76930058019815,4.470640831278282,86.23994141147644,-0.3656141440791174,4.470640831278282,50
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1002/term.1682,4,90.5,6.350852961085882,85.0,96.0,81.76930058019815,6.382019444835667,88.15132002503381,-2.3486799749661884,6.382019444835667,34
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1007/s00289-020-03421-y,1,95.25,,95.25,95.25,81.76930058019815,5.453223505024198,87.22252408522235,-8.027475914777654,5.453223505024198,41
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1007/s10439-016-1704-5,30,69.51666666666667,14.092969226149446,49.0,94.0,81.76930058019815,-11.679534464358156,70.08976611583999,0.573099449173327,11.679534464358156,13
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1007/s10856-019-6258-2,3,88.46666666666665,4.168133075290827,84.8,93.0,81.76930058019815,4.492805372232264,86.26210595243042,-2.204560714236237,4.492805372232264,49
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1007/s13205-018-1341-9,3,88.85666666666667,3.495058416297695,85.35,92.34,81.76930058019815,4.754429729113507,86.52373030931166,-2.3329363573550097,4.754429729113507,47
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.actbio.2014.06.034,9,74.44444444444444,31.863423823841934,20.0,95.0,81.76930058019815,-6.295198931742243,75.4741016484559,1.0296572040114569,6.295198931742243,35
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.actbio.2014.09.023,4,92.05,4.456081986079997,86.7,96.2,81.76930058019815,7.515047815627959,89.2843483958261,-2.7656516041738968,7.515047815627959,30
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.actbio.2014.09.033,4,93.0,8.679477710861024,80.0,98.0,81.76930058019815,8.209484559016781,89.97878513921493,-3.021214860785065,8.209484559016781,27
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.actbio.2018.10.028,8,83.0625,8.716476598128072,71.6,95.9,81.76930058019815,1.0922222423573886,82.86152282255554,-0.2009771774444573,1.0922222423573886,66
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.actbio.2020.07.016,6,88.61666666666667,3.080530257385355,85.0,92.8,81.76930058019815,5.498375650894372,87.26767623109252,-1.3489904355741515,5.498375650894372,40
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.addma.2020.101640,4,96.2,1.2400806425390258,95.15,97.98,81.76930058019815,10.548639905168608,92.31794048536676,-3.882059514633241,10.548639905168608,17
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.biomaterials.2015.05.031,6,75.05,15.368376622141978,50.2,92.9,81.76930058019815,-5.395540158749736,76.37376042144841,1.3237604214484122,5.395540158749736,42
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.biomaterials.2016.07.038,9,80.98888888888888,8.095900883231655,70.1,90.4,81.76930058019815,-0.6707089879170295,81.09859159228112,0.10970270339224442,0.6707089879170295,70
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.jmbbm.2017.12.018,3,92.33333333333333,3.350124375800594,89.0,95.7,81.76930058019815,7.086687884901016,88.85598846509916,-3.4773448682341694,7.086687884901016,32
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1016/j.mtbio.2020.100078,5,94.24,1.884940317357557,91.6,96.3,81.76930058019815,9.63425717984221,91.40355776004036,-2.836442239959638,9.63425717984221,21
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acs.biomac.5b00188,2,78.65,8.414570696119904,72.7,84.6,81.76930058019815,-1.7968007275310534,79.9724998526671,1.322499852667093,1.7968007275310534,60
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acs.biomac.9b01204,12,76.18333333333334,5.968376257535641,70.3,87.0,81.76930058019815,-4.975601620420024,76.79369895977813,0.6103656264447892,4.975601620420024,45
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acsami.7b04216,3,95.33333333333333,1.5275252316519463,94.0,97.0,81.76930058019815,9.099182937833662,90.86848351803181,-4.46484981530152,9.099182937833662,24
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acsami.7b16059,12,83.68333333333334,12.449011157030858,62.7,94.7,81.76930058019815,1.7048908536621998,83.47419143386036,-0.20914189947298212,1.7048908536621998,61
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acsami.9b09782,6,80.48333333333333,7.449407135246855,69.1,89.5,81.76930058019815,-1.032620559309961,80.73668002088819,0.2533466875548527,1.032620559309961,68
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1021/acsbiomaterials.9b00167,12,90.45833333333333,9.978290829535275,73.0,99.5,81.76930058019815,7.739602388583128,89.50890296878127,-0.9494303645520574,7.739602388583128,29
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1038/s41598-017-17286-1,2,86.02250000000001,1.4177490962790296,85.02,87.025,81.76930058019815,2.449956846207224,84.21925742640538,-1.8032425735946305,2.449956846207224,58
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1038/s41598-018-26407-3,20,88.425,2.63276420676465,83.9,92.3,81.76930058019815,6.199404443019277,87.96870502321742,-0.4562949767825728,6.199404443019277,37
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1038/s41598-019-55034-9,15,80.19066666666666,18.382200811292073,45.65,98.23,81.76930058019815,-1.4375559415034502,80.3317446386947,0.14107797202804306,1.4375559415034502,62
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1038/s41598-020-65050-9,18,56.422222222222224,11.969842278952832,41.2,76.7,81.76930058019815,-23.430874517198728,58.33842606299942,1.916203840777193,23.430874517198728,2
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1038/srep29977,3,77.76666666666667,16.095444490082695,60.3,92.0,81.76930058019815,-2.685093649894187,79.08420693030396,1.317540263637298,2.685093649894187,56
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1039/c3bm00012e,6,95.5,2.073644135332772,92.0,98.0,81.76930058019815,11.025632689448447,92.79493326964659,-2.7050667303534084,11.025632689448447,16
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1039/c4bm00234b,3,61.666666666666664,26.083200212652844,33.0,84.0,81.76930058019815,-13.485483767299403,68.28381681289875,6.617150146232085,13.485483767299403,8
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/0960-1317/22/8/085014,4,93.05,2.4664414311581266,89.5,95.2,81.76930058019815,8.246033861300404,90.01533444149855,-3.0346655585014446,8.246033861300404,26
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5082/5/2/025004,3,96.16666666666667,1.2897028081435344,95.1,97.6,81.76930058019815,9.658209341426065,91.42750992162422,-4.73915674504245,9.658209341426065,20
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5082/6/2/024105,9,85.5,9.134960317374125,68.2,96.9,81.76930058019815,3.2062738935652058,84.97557447376336,-0.5244255262366408,3.2062738935652058,55
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5082/6/3/035001,4,73.5,20.074859899884732,47.0,95.0,81.76930058019815,-6.044743331595907,75.72455724860224,2.2245572486022382,6.044743331595907,38
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/7/4/044101,3,79.94333333333333,21.654399860844297,54.94,92.64,81.76930058019815,-1.2249166837108292,80.54438389648732,0.60105056315399,1.2249166837108292,64
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/7/4/044102,10,76.914,10.813853460569304,60.93,91.57,81.76930058019815,-4.232282860561627,77.53701771963652,0.6230177196365219,4.232282860561627,52
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/7/4/045012,11,88.35454545454546,9.897612200562683,61.0,96.0,81.76930058019815,5.807997207655034,87.57729778785318,-0.7772476666922756,5.807997207655034,39
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/8/3/035020,14,51.50714285714286,31.400084867247248,3.9,92.3,81.76930058019815,-27.38292053115054,54.38638004904761,2.8792371919047497,27.38292053115054,1
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/8/4/045001,4,75.7,9.540440241414439,66.2,84.5,81.76930058019815,-4.436574031116525,77.33272654908163,1.6327265490816245,4.436574031116525,51
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/8/4/045002,4,75.375,2.6209095113465186,72.4,78.0,81.76930058019815,-4.674144495960066,77.09515608423808,1.7201560842380843,4.674144495960066,48
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/8/4/045005,1,86.92,,86.92,86.92,81.76930058019815,2.0835651228985586,83.85286570309671,-3.0671342969032906,2.0835651228985586,59
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/aa7b1d,8,92.2125,2.0237429961054114,89.3,95.0,81.76930058019815,8.820213273393737,90.58951385359188,-1.6229861464081239,8.820213273393737,25
