dataset,target_key,target_label,unit,feature_set,validation_design,model_variant,model_display_name,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adfm.201700798,5,4,10.50228939246399,11.498642506779701,-10.50228939246399,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adhm.201500677,5,7,10.693032721844077,11.500639466746762,-9.509550818605508,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adhm.201601451,5,9,6.789227275660446,8.671179209394058,2.4604830580942716,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adhm.201801631,5,3,13.465806799464627,13.800133852648282,-13.465806799464627,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adhm.201901544,5,4,7.677329689097922,8.41994901834851,7.677329689097922,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adhm.201901792,5,4,11.061670399961159,11.999528992142192,-11.061670399961159,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adma.201305506,5,10,7.150621195709519,8.746078327357429,4.580587041050262,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adma.201503310,5,9,20.289042200832103,27.518580838527214,19.658919046167835,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adma.201604983,5,15,6.217264067700443,7.329526339243971,-5.953290585803499,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/adma.201703443,5,13,12.196227073491315,12.24235526863704,-12.196227073491315,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/biot.200900004,5,12,15.851774289049718,19.849671168814165,15.642571782521873,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/jbm.a.34420,5,2,2.3578975049531095,2.810775356437108,1.807146680999273,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/jbm.a.36036,5,4,24.548827904068155,32.178704910104685,17.56557283843934,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/mabi.201600472,5,42,14.682639311133276,16.1323816276105,-12.029359759633213,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/smll.201905505,5,18,12.570149397016221,15.958706778951543,-4.079967239703333,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1002/term.1682,5,4,9.157191701187694,10.748890757700057,-9.157191701187694,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1007/s00289-020-03421-y,5,1,15.105539109067255,15.105539109067255,-15.105539109067255,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1007/s10439-016-1704-5,5,30,15.242653737579491,17.47702106074123,9.261582174902756,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1007/s10856-019-6258-2,5,3,3.203136762282373,4.066772918949155,-1.9890853897181056,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1007/s13205-018-1341-9,5,3,4.494507844687261,5.38349395675871,-4.215817398958189,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.actbio.2014.06.034,5,9,23.147264976679807,30.311473262032358,5.282860892097284,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.actbio.2014.09.023,5,4,9.8060421763877,10.09254689542573,-9.8060421763877,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.actbio.2014.09.033,5,4,11.31370311272543,12.194909690907883,-9.68505999699073,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.actbio.2018.10.028,5,8,8.694019074732086,10.02838167909038,5.451641307512455,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.actbio.2020.07.016,5,6,2.718962497290408,3.244502742396226,-0.7246961920725615,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.addma.2020.101640,5,4,12.184257359204523,12.214215377686468,-12.184257359204523,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.biomaterials.2015.05.031,5,6,14.219850750457173,18.624191936067994,11.478955307218282,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.biomaterials.2016.07.038,5,9,12.954425490867134,14.07009885621008,-12.180088186060832,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.jmbbm.2017.12.018,5,3,16.579486345105963,16.698785651597525,-16.579486345105963,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.mtbio.2020.100078,5,5,10.101593486088015,10.269048544712097,-10.101593486088015,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.5b00188,5,2,8.905010813644635,10.265448847031974,-5.50477223509357,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.9b01204,5,12,10.526614547148514,11.765011706668025,10.293615880069584,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b04216,5,3,14.159339106137292,14.24880455362992,-14.159339106137292,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b16059,5,12,10.424752288653487,11.593402973022481,1.0226696981898986,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.9b09782,5,6,7.2724620020596715,8.371077519250404,-3.318738915396152,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsbiomaterials.9b00167,5,12,15.56203755840485,17.421293778228772,-14.906573231114246,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-017-17286-1,5,2,2.6315455611605714,2.8712160219763083,-1.5392288644945027,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-018-26407-3,5,20,8.840270616807011,9.895082287808451,-8.840270616807011,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-019-55034-9,5,15,14.455813739649816,17.732596790347714,4.202559353811518,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-020-65050-9,5,18,17.213408822483224,20.642513443048916,16.60767067661381,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/srep29977,5,3,11.039660707778237,12.373510306560018,-0.8984499785903995,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1039/c3bm00012e,5,6,15.017229808664615,15.138189102866761,-15.017229808664615,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1039/c4bm00234b,5,3,23.136901411933746,30.56910941394093,23.136901411933746,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/0960-1317/22/8/085014,5,4,4.218709323842819,4.3895822316890545,-3.826495876752874,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5082/5/2/025004,5,3,12.174345460714315,12.74154561040876,-12.174345460714315,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5082/6/2/024105,5,9,7.2381294833273815,8.589366221426,-1.6600304246042072,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5082/6/3/035001,5,4,20.8596336449336,25.48828365209015,-11.180982222149336,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/7/4/044101,5,3,19.222116160093528,21.6917017322343,1.2536088642089624,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/7/4/044102,5,10,9.104886514176854,11.324546067170349,4.110413652722303,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/7/4/045012,5,11,8.483982151102335,10.316086933982422,-3.6341765778203943,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/8/3/035020,5,14,35.83668517471936,45.60018393563594,34.366977012015894,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/8/4/045001,5,4,9.118302805605351,10.996928266068643,5.933076219506235,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/8/4/045002,5,4,6.607545466276766,7.672759751519473,5.758632850956907,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/8/4/045005,5,1,6.458327649547622,6.458327649547622,-6.458327649547622,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/aa7b1d,5,8,8.268099989040389,8.636988129828243,-8.268099989040389,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/aacd30,5,6,10.56453281768958,11.294832219094696,-10.56453281768958,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab0692,5,4,12.901336899963571,16.350743761071634,-10.869577305865644,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab15cb,5,6,17.2039056083724,17.64077081973011,-17.2039056083724,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab19fd,5,8,10.740423859753273,15.086727059452148,9.126915329721921,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab2622,5,9,4.393773803970502,5.270211394872577,-4.393773803970502,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab38ef,5,1,12.817880139757047,12.817880139757047,-12.817880139757047,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/ab7553,5,4,10.252945729476684,12.068549466547069,10.252945729476684,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1088/1758-5090/abc39b,5,14,8.622835692324433,9.978802155107763,7.384606935246788,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1089/biores.2013.0031,5,4,20.94494551495731,21.01404802330712,-20.94494551495731,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1089/ten.a.2007.0004,5,21,21.332372468853343,23.503520932165156,20.614157724924535,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1089/ten.a.2007.0158,5,9,7.1047490615832585,9.197294732090565,-0.8266980308623438,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1089/ten.tec.2007.0392,5,6,5.04454708302344,5.278187386244857,-5.04454708302344,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1089/ten.tec.2015.0307,5,10,3.8784693888911717,4.644103709382539,-1.0921108619736404,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1115/1.3128729,5,4,6.952704172535803,8.50172257809942,5.349678547928908,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1115/1.4024575,5,30,19.43983782756256,22.96525539790748,11.810264864415831,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1115/1.4043960,5,2,7.977327207722584,8.039394945675777,-7.977327207722584,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.18063/ijb.v5i2.2.204,5,19,21.62978398676676,24.012593153752057,21.470576390929935,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.18063/ijb.v6i1.250,5,2,24.00329022800702,24.00732065693808,24.00329022800702,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.3390/ma13194237,5,3,16.611236043296355,16.624570999071548,-16.611236043296355,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.3390/polym12102346,5,2,4.145873015364266,4.235342211132677,-4.145873015364266,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adfm.201700798,5,4,10.537530429251039,11.540505352742601,-10.507792243520095,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adhm.201500677,5,7,10.91622043985256,11.741621830929292,-9.841433785161625,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adhm.201601451,5,9,6.971306340876636,8.85739898851664,2.419354781897348,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adhm.201801631,5,3,13.17102648609178,13.5118712621364,-13.17102648609178,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adhm.201901544,5,4,8.04069028479851,8.757575032100828,8.04069028479851,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adhm.201901792,5,4,10.64904465070496,11.590598494059009,-10.64904465070496,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adma.201305506,5,10,6.877812044581885,8.445067511228618,4.123595983177063,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adma.201503310,5,9,20.176993757059456,27.49213946166812,19.5263559261518,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adma.201604983,5,15,6.123552786537932,7.201243712028505,-5.84778097119351,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/adma.201703443,5,13,11.753504657577711,11.802475491409549,-11.753504657577711,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/biot.200900004,5,12,15.838043849372028,19.808057020498943,15.57740575804977,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/jbm.a.34420,5,2,2.4012482792207637,2.670247247093003,1.8447358219477905,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/jbm.a.36036,5,4,24.74971722190695,32.415257036920025,17.949378955302407,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/mabi.201600472,5,42,14.466512160327971,15.887494733869222,-11.84027806974571,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/smll.201905505,5,18,12.604568458398301,16.015898563199507,-4.061927043576261,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1002/term.1682,5,4,9.348978913860323,10.901868827827718,-9.348978913860323,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1007/s00289-020-03421-y,5,1,14.295980464868475,14.295980464868475,-14.295980464868475,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1007/s10439-016-1704-5,5,30,14.943907305838817,17.096739626200552,8.836114151911474,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1007/s10856-019-6258-2,5,3,3.286199508078334,4.276049985061495,-2.525265190901667,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1007/s13205-018-1341-9,5,3,4.340565462617254,5.185949894601693,-3.785593974763065,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1016/j.actbio.2014.06.034,5,9,23.280740666707416,30.33258786087142,4.960016941127745,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1016/j.actbio.2014.09.023,5,4,9.806058531728599,10.085573278835453,-9.806058531728599,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1016/j.actbio.2014.09.033,5,4,11.227159610193752,12.198857483710304,-9.69708921267277,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,doi:10.1016/j.actbio.2018.10.028,5,8,8.609935064048932,9.949350972722154,5.244655154554654,0.0
