global_task_number,task_id,dataset,target_key,target_label,unit,feature_set,validation_design,repeat,outer_fold,model_variant,model_display_name,outer_training_rows,outer_test_rows,outer_training_publications,outer_test_publications,source_overlap_count,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction,merf_converged,merf_iterations,merf_sigma_between,merf_sigma_residual,merf_final_delta,merf_final_relative_delta
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,tuned_rf_reference,Tuned Random Forest,487,121,60,15,0,121,15,11.64938263002378,14.997835281795636,3.110556075555892,0.1791547821891149,9.864189357178669,0.0,,,,,,
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,matched_fixed_rf,Matched fixed Random Forest,487,121,60,15,0,121,15,11.624723696512916,14.88624481165161,2.428483516916524,0.1913242367193324,9.839811351660162,0.0,,,,,,
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,merf_marginal,Marginal MERF,487,121,60,15,0,121,15,11.65155619276734,14.84609749614099,1.999497327760812,0.1956802555505812,9.991367712091662,0.0,True,1.0,0.0,84.6584827268307,,
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,merf_conditional,Conditional MERF,487,121,60,15,0,121,15,11.65155619276734,14.846097496140988,1.9994973277608104,0.1956802555505813,9.991367712091664,0.0,True,1.0,0.0,84.6584827268307,,
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,tuned_rf_reference,Tuned Random Forest,486,122,60,15,0,122,15,12.436378269176933,17.007093410355434,3.5331386077697027,0.0459188496375831,12.246126937779918,0.0,,,,,,
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,matched_fixed_rf,Matched fixed Random Forest,486,122,60,15,0,122,15,12.94018114450859,17.335165027193344,4.659960789986012,0.0087548341304874,11.76652184066538,0.0,,,,,,
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,merf_marginal,Marginal MERF,486,122,60,15,0,122,15,12.78025890952862,17.213401058691478,4.510108787584279,0.0226311425040001,11.57550597058864,0.0,True,1.0,0.0,70.38760329817974,,
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,merf_conditional,Conditional MERF,486,122,60,15,0,122,15,12.780258909528625,17.213401058691478,4.510108787584281,0.0226311425040001,11.57550597058864,0.0,True,1.0,0.0,70.38760329817974,,
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,tuned_rf_reference,Tuned Random Forest,487,121,60,15,0,121,15,11.248892823840528,14.14179038981854,2.259618088589522,-0.1750188414962104,10.99497864481671,0.0,,,,,,
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,matched_fixed_rf,Matched fixed Random Forest,487,121,60,15,0,121,15,13.422276974057924,16.541079597567474,0.9736695368788668,-0.6075472321335049,13.106518416623372,0.0,,,,,,
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,merf_marginal,Marginal MERF,487,121,60,15,0,121,15,13.30742118245926,16.53804904679086,1.1413829785895793,-0.606958237056334,12.933335827950089,0.0,True,1.0,0.0,83.89482373134115,,
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,merf_conditional,Conditional MERF,487,121,60,15,0,121,15,13.30742118245926,16.53804904679086,1.1413829785895788,-0.606958237056334,12.933335827950089,0.0,True,1.0,0.0,83.89482373134115,,
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,tuned_rf_reference,Tuned Random Forest,486,122,59,16,0,122,16,11.67756802932042,14.025661740515767,-1.7205851027827852,0.0841142772844223,11.385501536332235,0.0,,,,,,
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,matched_fixed_rf,Matched fixed Random Forest,486,122,59,16,0,122,16,12.817703502679006,15.378940790385457,-2.697458405003099,-0.1011523688027569,12.866822693122906,0.0,,,,,,
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,merf_marginal,Marginal MERF,486,122,59,16,0,122,16,12.398178338187805,14.77382134939669,-2.81115472045437,-0.0162024876991737,12.639228700606072,0.0,True,1.0,0.0,85.62483384809927,,
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,merf_conditional,Conditional MERF,486,122,59,16,0,122,16,12.398178338187805,14.773821349396693,-2.811154720454374,-0.0162024876991739,12.639228700606072,0.0,True,1.0,0.0,85.62483384809927,,
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,tuned_rf_reference,Tuned Random Forest,486,122,61,14,0,122,14,15.049551080762734,21.517843372477447,-0.0656611185164491,-0.0212772460479535,12.305219507792517,0.0,,,,,,
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,matched_fixed_rf,Matched fixed Random Forest,486,122,61,14,0,122,14,15.096771166387278,21.484453014996134,-0.0529232800367144,-0.0181101671041596,12.62104761501881,0.0,,,,,,
