global_task_number,task_id,dataset,target_family,target_key,target_column,feature_set,validation_design,repeat,outer_fold,outer_split_id,task_elapsed_seconds,model_key,selected_candidate_id,selected_complexity_rank,inner_mean_publication_macro_mae,inner_mean_row_mae,inner_total_convergence_warnings,preprocessing_variant,outer_training_rows,outer_test_rows,outer_training_sources,outer_test_sources,outer_source_overlap,output_feature_count,outer_row_mae,outer_publication_macro_mae,outer_fit_seconds,outer_convergence_warning_count,selected_parameters_json
1,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,1,CV_publication_grouped_r01_f001,30.11203545799981,ridge,ridge_01,1,15.499778473888188,16.827264252816676,0,scaled,487,121,60,15,0,33,13.111232458210221,11.571901949368833,0.002985639999678824,0,"{""alpha"": 100.0}"
1,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,1,CV_publication_grouped_r01_f001,30.11203545799981,elastic_net,elastic_net_03,3,13.887016127184236,14.521655211080663,0,scaled,487,121,60,15,0,33,13.625074551198004,11.774643956237696,0.00253386800068256,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
1,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,1,CV_publication_grouped_r01_f001,30.11203545799981,random_forest,random_forest_01,1,12.761701555027203,13.25347033450302,0,unscaled,487,121,60,15,0,33,12.489601290645629,11.481971274802742,0.8337391709992517,0,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}"
1,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,1,CV_publication_grouped_r01_f001,30.11203545799981,rbf_svr,rbf_svr_01,1,11.424865299811364,12.522780481468962,0,scaled,487,121,60,15,0,33,13.395588792916334,10.181925965549981,0.029775268001685617,0,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}"
2,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,2,CV_publication_grouped_r01_f002,19.466016549000415,ridge,ridge_01,1,14.521229073496695,14.8022914548803,0,scaled,486,122,60,15,0,33,14.513362062125545,13.575203790555795,0.001819341001464636,0,"{""alpha"": 100.0}"
2,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,2,CV_publication_grouped_r01_f002,19.466016549000415,elastic_net,elastic_net_01,1,13.128210110551468,13.450367762747229,0,scaled,486,122,60,15,0,33,14.02570094533359,12.967473675015473,0.001754814999003429,0,"{""alpha"": 1.0, ""l1_ratio"": 0.9}"
2,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,2,CV_publication_grouped_r01_f002,19.466016549000415,random_forest,random_forest_06,6,11.8666811354279,12.762366773469687,0,unscaled,486,122,60,15,0,33,13.783845189413643,13.319283378767393,0.6509144409992587,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
2,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,2,CV_publication_grouped_r01_f002,19.466016549000415,rbf_svr,rbf_svr_04,4,11.08496692128533,12.650172551959988,0,scaled,486,122,60,15,0,33,13.798487726488093,12.721343669497156,0.01826164199883351,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}"
3,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,3,CV_publication_grouped_r01_f003,19.222479963000296,ridge,ridge_01,1,14.717809608179124,15.852600859840152,0,scaled,487,121,60,15,0,33,16.254896258533716,13.878527331523765,0.0017393340003764024,0,"{""alpha"": 100.0}"
3,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,3,CV_publication_grouped_r01_f003,19.222479963000296,elastic_net,elastic_net_02,2,13.619068140367183,14.37259754297608,0,scaled,487,121,60,15,0,33,14.117763698177558,12.914953110304557,0.0015124769997783005,0,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
