global_task_number,task_id,dataset,target_key,target_label,unit,feature_set,validation_design,repeat,outer_fold,model_variant,model_display_name,method_key,outer_training_rows,outer_test_rows,outer_training_publications,outer_test_publications,source_overlap_count,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,11.789015575229785,15.20418997568937,3.420394702995184,0.156411427108062,9.990253957429404,0.0,0,0.0753321130815618,-13.733159414226757,0.0,166.96884608153997,0.0,0.0,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,11.9268115898693,15.20837911694638,2.314847836750554,0.1559465028284268,10.220495553494809,0.0,0,0.0753321130815618,-13.733159414226757,0.0,166.96884608153997,0.0,0.0,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,11.922045790308658,15.220027432631042,2.3901799498321115,0.1546530623278856,10.195101800560122,0.0,0,0.0753321130815618,-13.733159414226757,0.0,166.96884608153997,0.0,0.0,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,1,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,11.922045790308658,15.220027432631042,2.3901799498321115,0.1546530623278856,10.195101800560122,0.0,0,0.0753321130815618,-13.733159414226757,0.0,166.96884608153997,0.0,0.0,0.0,0.0,0.0
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.394998912652312,17.007321636928168,3.5904841014646784,0.045893242894934,12.34676901456733,0.0,0,0.262433870152531,-12.952556219979124,0.0,137.96285260506656,0.0,0.0,0.0,0.0,0.0
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.843389001984743,17.23127749747609,4.245625007806001,0.0206000567324459,11.790085244382231,0.0,0,0.262433870152531,-12.952556219979124,0.0,137.96285260506656,0.0,0.0,0.0,0.0,0.0
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.856317666803202,17.29780874374725,4.508058877958535,0.0130223836330941,11.763288603065936,0.0,0,0.262433870152531,-12.952556219979124,0.0,137.96285260506656,0.0,0.0,0.0,0.0,0.0
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,2,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.856317666803202,17.29780874374725,4.508058877958535,0.0130223836330941,11.763288603065936,0.0,0,0.262433870152531,-12.952556219979124,0.0,137.96285260506656,0.0,0.0,0.0,0.0,0.0
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,11.752379995706775,14.600329137992803,2.375745780135041,-0.252452694743976,11.276641879468375,0.0,0,0.2372747131446686,-13.76208820795221,0.0,164.0142898720789,0.0,0.0,0.0,0.0,0.0
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.665773941808318,16.82576755648195,0.91858617521884,-0.663358297097618,13.133092340941197,0.0,0,0.2372747131446686,-13.76208820795221,0.0,164.0142898720789,0.0,0.0,0.0,0.0,0.0
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.655422418862088,16.84038799127579,1.1558608883635113,-0.6662502409234681,13.099282159084282,0.0,0,0.2372747131446686,-13.76208820795221,0.0,164.0142898720789,0.0,0.0,0.0,0.0,0.0
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,3,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.655422418862088,16.84038799127579,1.1558608883635113,-0.6662502409234681,13.099282159084282,0.0,0,0.2372747131446686,-13.76208820795221,0.0,164.0142898720789,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,11.7040772087339,13.978495295443976,-1.6988776922273647,0.0902639247014661,11.323332217591428,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.529349485778797,15.076906929561584,-2.340792260936221,-0.0583250492314357,12.467163132117,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.442107551690544,15.037439953394276,-2.071421299044525,-0.0527915243165688,12.318747668763985,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.442107551690544,15.037439953394276,-2.071421299044525,-0.0527915243165688,12.318747668763985,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
