global_task_number,task_id,scenario_key,scenario_label,source_column,feature_mode,feature_count,validation_design,repeat,outer_fold,training_rows,test_rows,training_sources,test_sources,source_overlap_count,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
1,step17__core_physics_features__publication_grouped__r01,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,1,1,486,122,60,15,0,0.0,122,15,12.813242336264704,16.286460013319193,-0.1016047925087094,-0.1543290998030444,11.23273874398446
1,step17__core_physics_features__publication_grouped__r01,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,1,2,487,121,61,14,0,0.0,121,14,15.618599265552923,21.873099025104796,-0.3777119408705972,-0.0726874810442517,14.806195514824486
1,step17__core_physics_features__publication_grouped__r01,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,1,3,486,122,59,16,0,0.0,122,16,11.72626047914312,14.917896169394991,0.2916560002750367,-0.2207321528529722,11.565745758761931
1,step17__core_physics_features__publication_grouped__r01,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,1,4,486,122,60,15,0,0.0,122,15,12.580080821419523,16.181972672161923,-1.8233895434776608,0.0169280232101376,10.904717157902004
1,step17__core_physics_features__publication_grouped__r01,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,1,5,487,121,60,15,0,0.0,121,15,13.620136680095849,16.81858641924699,4.476129045245645,0.0248596836711204,13.565739072416864
2,step17__core_physics_features__publication_grouped__r02,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,2,1,487,121,60,15,0,0.0,121,15,10.197593816029414,12.53890786120016,-1.8077065138127344,0.2756697793375956,10.3508562773253
2,step17__core_physics_features__publication_grouped__r02,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,2,2,486,122,61,14,0,0.0,122,14,14.834570936793131,20.540899538494116,-0.4939056762315613,-0.0718026034362939,12.390090148747246
2,step17__core_physics_features__publication_grouped__r02,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,2,3,486,122,60,15,0,0.0,122,15,14.576320015258949,18.37309468195268,1.3174461208994637,-0.077430613525594,12.875724583480023
2,step17__core_physics_features__publication_grouped__r02,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,2,4,486,122,59,16,0,0.0,122,16,12.209974197136011,16.501581976533505,0.204520972825472,-0.0708414715904128,13.901741713009743
2,step17__core_physics_features__publication_grouped__r02,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,2,5,487,121,60,15,0,0.0,121,15,13.48284612476515,17.782951196354993,8.476187160088072,-0.3419166470622603,11.536607156190543
3,step17__core_physics_features__publication_grouped__r03,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,3,1,487,121,60,15,0,0.0,121,15,14.217803960813823,17.48169092190579,5.704692928809638,-0.0539464888858196,11.170588494146225
3,step17__core_physics_features__publication_grouped__r03,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,3,2,486,122,59,16,0,0.0,122,16,14.986848704965483,18.52705073494948,-0.5584594277791527,-0.1582037052324072,15.697602166585495
3,step17__core_physics_features__publication_grouped__r03,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,3,3,487,121,61,14,0,0.0,121,14,14.182115295517104,19.96984733918706,-3.212591340398378,-0.1883219677876795,11.29817121823404
3,step17__core_physics_features__publication_grouped__r03,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,3,4,486,122,60,15,0,0.0,122,15,10.586357577565185,13.944287917134744,1.896986020493598,-0.0088905078950192,11.446833665514804
3,step17__core_physics_features__publication_grouped__r03,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,3,5,486,122,60,15,0,0.0,122,15,14.118803399514254,18.32773406222898,2.039243038492726,-0.2411942151766968,13.306773532314065
4,step17__core_physics_features__publication_grouped__r04,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,4,1,487,121,60,15,0,0.0,121,15,14.15545495245228,18.120483446237177,5.87785703005845,-0.2365129203673892,12.940340392354653
4,step17__core_physics_features__publication_grouped__r04,core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,15,publication_grouped,4,2,486,122,61,14,0,0.0,122,14,13.85630047071646,19.81393144702717,-2.322745340246627,-0.064591603333084,11.838982280353404
