dataset,target_key,target_label,unit,feature_set,validation_design,model_variant,model_display_name,repeat_count,prediction_rows,publication_count,mae_mean,mae_sd,rmse_mean,rmse_sd,bias_mean,r2_mean,r2_sd,macro_publication_mae_mean,macro_publication_mae_sd,source_seen_fraction_mean
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,5,608.0,75.0,13.23802283967962,0.4523758387244659,17.36250890139088,0.5394308116910789,1.5591950630394793,-0.045094438856409916,0.0657452232265206,11.977533533394212,0.40319335113624677,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_conditional,Conditional MERF,5,608.0,75.0,13.233916044434261,0.34469853960730124,17.367964788112683,0.459532151390752,1.5757879371215515,-0.0455296486705554,0.056120809738639865,11.990364513451077,0.3177357398318274,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,merf_marginal,Marginal MERF,5,608.0,75.0,13.233916044434258,0.3446985396073002,17.367964788112683,0.459532151390752,1.5757879371215517,-0.0455296486705554,0.056120809738639865,11.990364513451075,0.3177357398318276,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,tuned_rf_reference,Tuned Random Forest,5,608.0,75.0,12.773240158207326,0.4165785387066605,17.039892849234107,0.5449399252086846,1.9316188865881685,-0.006663320398157535,0.06465143431191324,11.685263256076604,0.4715126799677465,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,matched_fixed_rf,Matched fixed Random Forest,5,608.0,75.0,8.098902595776167,0.1944421142266642,11.928518402274126,0.3027872993455314,-0.2315781771337276,0.5068351123108139,0.024695172911449605,8.265412956822022,0.2579490802069722,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,merf_conditional,Conditional MERF,5,608.0,75.0,8.069833913103322,0.17305268832149595,11.901083014174516,0.3012435987625012,-0.2532067102352238,0.5091024618047312,0.024470378019083725,8.222603859551786,0.24757018311446197,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,merf_marginal,Marginal MERF,5,608.0,75.0,8.06983391310332,0.17305268832149723,11.901083014174516,0.3012435987625012,-0.2532067102352237,0.5091024618047311,0.02447037801908378,8.222603859551786,0.24757018311446216,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,tuned_rf_reference,Tuned Random Forest,5,608.0,75.0,7.704652934308134,0.21462466119864695,11.758299278064744,0.42855784760553867,-0.09360823923863104,0.5205474363007578,0.034356584268097665,7.8394693738020065,0.2479973820056368,0.9861842105263158
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,5,286.0,54.0,293.6694133241775,10.048995850639733,381.5507278485269,5.757158395833427,-44.48515128648393,0.14425079051808637,0.02579487521210568,288.43875862546696,11.13894166160168,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,merf_conditional,Conditional MERF,5,286.0,54.0,294.9666237334417,15.075190670807617,384.84196064682806,17.741428996974047,-27.6337385365723,0.12810248283427472,0.0816486699338739,293.45508479745223,17.119144117447703,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,merf_marginal,Marginal MERF,5,286.0,54.0,294.9666237334417,15.075190670807645,384.84196064682806,17.741428996974047,-27.63373853657229,0.12810248283427472,0.0816486699338739,293.45508479745223,17.119144117447703,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,tuned_rf_reference,Tuned Random Forest,5,286.0,54.0,289.55362209418297,9.334886026735171,378.0782762777185,8.482465417642054,-51.61626363772282,0.15957078932290614,0.03765512904006574,290.2410392347156,9.582205721838042,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,matched_fixed_rf,Matched fixed Random Forest,5,286.0,54.0,124.36703984490649,1.9879956007326445,203.86210285591616,4.773612865301719,5.0056416711382115,0.755642148888643,0.011404513740178847,158.2746071473993,3.179538256203977,0.9573426573426573
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,merf_conditional,Conditional MERF,5,286.0,54.0,120.71201509536823,4.882993284528552,200.23105523886474,6.04710413137035,5.395267509871664,0.7642007146684833,0.014042349612599793,151.89859969329143,7.775384532411147,0.9573426573426573
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,merf_marginal,Marginal MERF,5,286.0,54.0,139.20279498976328,12.875780566424226,220.84281504777385,17.02175235168731,7.91536246404884,0.7120026244313005,0.044170084142072664,174.62536700254978,12.873541394811939,0.9573426573426573
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,tuned_rf_reference,Tuned Random Forest,5,286.0,54.0,110.32237928305703,3.2221587964904055,185.54088273915767,8.869991759131748,0.061433414457423584,0.79730856857548,0.019423972760131643,142.27437289969453,7.045688674373804,0.9573426573426573
