dataset,target_family,target_key,target_label,unit,validation_design,model_key,model_display_name,macro_publication_mae_mean__core_physics,macro_publication_mae_mean__full_retrospective,macro_publication_mae_mean__prospective_design,mae_mean__core_physics,mae_mean__full_retrospective,mae_mean__prospective_design,prospective_minus_core_macro_mae,full_minus_core_macro_mae,prospective_improvement_percent_vs_core,full_improvement_percent_vs_core
cell_viability,raw_outcome,cell_viability,Cell viability,%,leave_one_publication_out,elastic_net,Elastic Net,13.01615905429834,12.725792586846147,12.67696326794634,13.620745331336733,13.077344590495574,12.98253024541203,-0.33919578635200054,-0.2903664674521931,2.6059591384601863,2.2308152984370997
cell_viability,raw_outcome,cell_viability,Cell viability,%,leave_one_publication_out,random_forest,Random Forest,11.865601481509602,11.18626790884037,11.178611493236232,12.680496535319888,12.266281348068288,12.203542308259054,-0.6869899882733694,-0.6793335726692327,5.789761179354618,5.7252350310926206
cell_viability,raw_outcome,cell_viability,Cell viability,%,leave_one_publication_out,rbf_svr,RBF-SVR,11.633662007782428,11.322738756181401,11.40641525198126,12.965900545654314,12.652837469368466,12.650028075480511,-0.22724675580116838,-0.31092325160102696,1.95335532052719,2.672617198204937
cell_viability,raw_outcome,cell_viability,Cell viability,%,leave_one_publication_out,ridge,Ridge regression,13.47459742556859,13.228377843239784,13.197977484441619,13.822324391305038,13.43993790014936,13.264600136139322,-0.2766199411269703,-0.2462195823288056,2.0528994847896,1.8272871133173452
cell_viability,raw_outcome,cell_viability,Cell viability,%,publication_grouped,elastic_net,Elastic Net,13.498960980720742,13.004566365745575,13.154393487772401,14.262282219820628,13.430486199088506,13.576441193935906,-0.3445674929483413,-0.49439461497516746,2.552548254939426,3.662464212477267
cell_viability,raw_outcome,cell_viability,Cell viability,%,publication_grouped,random_forest,Random Forest,12.358355241456257,11.663333896647373,11.744980490843364,13.28809094404206,12.761468729704745,12.813602224629943,-0.613374750612893,-0.6950213448088842,4.963239352072676,5.623898417140709
cell_viability,raw_outcome,cell_viability,Cell viability,%,publication_grouped,rbf_svr,RBF-SVR,11.672828399102093,11.41674007350847,11.50846865435,13.066392899960647,12.78716122159928,12.79611759028393,-0.16435974475209214,-0.25608832559362327,1.408054150481088,2.1938840942210915
cell_viability,raw_outcome,cell_viability,Cell viability,%,publication_grouped,ridge,Ridge regression,14.186922104583465,14.120829995834956,14.169875118021858,14.916642439342786,14.211214848680067,14.29458242125079,-0.017046986561606303,-0.06609210874850824,0.12015986579709786,0.4658664385501589
cell_viability,raw_outcome,cell_viability,Cell viability,%,random_rowwise,elastic_net,Elastic Net,12.483671104756688,11.893183699936667,12.196484088860668,11.66166122361281,10.650512721557476,10.832959215270085,-0.2871870158960199,-0.5904874048200206,2.3005012987453046,4.730078194666836
cell_viability,raw_outcome,cell_viability,Cell viability,%,random_rowwise,random_forest,Random Forest,8.128985836387372,7.811200051397547,7.826749259547606,7.8124695157614115,7.608911425875471,7.7108369559112875,-0.3022365768397659,-0.3177857849898249,3.718010867811818,3.9092919016703944
cell_viability,raw_outcome,cell_viability,Cell viability,%,random_rowwise,rbf_svr,RBF-SVR,8.480539394884142,8.086587932319363,8.00102581783977,8.54823197957014,8.319710303581349,8.305629294956352,-0.47951357704437214,-0.39395146256477886,5.654281581825293,4.645358558235444
cell_viability,raw_outcome,cell_viability,Cell viability,%,random_rowwise,ridge,Ridge regression,12.542889585361259,12.1344029336275,12.353644233583058,11.652548953993637,10.79526899677858,10.893280041451456,-0.1892453517782009,-0.4084866517337584,1.5087859180317442,3.2567188681187234
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,leave_one_publication_out,elastic_net,Elastic Net,0.7883968329544613,0.7883968329544613,0.7883968329544613,0.7692280236902227,0.7692280236902227,0.7692280236902227,0.0,0.0,-0.0,-0.0
