original_feature,publication_count,macro_publication_mean_absolute_shap,importance_bootstrap_ci_lower,importance_bootstrap_ci_upper,importance_rank,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,bootstrap_top_3_frequency,bootstrap_top_5_frequency,bootstrap_top_10_frequency,dataset,target_key,target_label,unit,feature_set,model_variant,model_display_name,task_count,task_feature_count,task_importance_mean,task_importance_sd,task_rank_mean,task_rank_median,task_rank_q1,task_rank_q3,task_top_3_frequency,task_top_5_frequency,task_top_10_frequency,rank_stability_category
cacl2_conc_mm,75,0.5535508814334732,0.4555627400635631,0.6672113073462413,13.0,13.0,11.0,13.0,0.0,0.0,0.0201,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.5587972498204852,0.40927264085955056,10.16,12.0,8.0,14.0,0.08,0.2,0.44,Low rank stability
cell_density_cells_or_ml,75,0.9527131858752607,0.835645800591799,1.0764672254392407,6.0,6.0,3.0,7.0,0.0318,0.3858,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.9350251818870398,0.5493563440287845,6.84,7.0,4.0,9.0,0.2,0.4,0.8,Low rank stability
conical_or_straight_nozzle,75,1.1533398629387541,1.0054411376357184,1.311311805053119,2.0,2.0,2.0,5.0,0.8881,0.9927,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,1.1418911387157293,0.5860691618840842,5.72,5.0,3.0,9.0,0.36,0.56,0.88,Moderate rank stability
days_observed,75,1.0291688484084,0.896790444935636,1.1768695270294294,4.0,4.0,2.0,7.0,0.2939,0.8115,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,1.0318468919760324,0.3169817970302305,5.2,5.0,3.0,7.0,0.28,0.56,1.0,Moderate rank stability
extrusion_pressure_kpa,75,2.0472951088493727,1.760633995269161,2.3832337173074984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,2.0560858132327753,0.5497796830988501,1.56,1.0,1.0,2.0,1.0,1.0,1.0,High rank stability
final_alginate_conc_pctw_or_v,75,0.9923745400872186,0.8749289585150606,1.1150154891308335,5.0,5.0,3.0,7.0,0.0834,0.6895,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.9889020992356721,0.28111276085391745,5.8,5.0,4.0,6.0,0.16,0.56,0.92,Moderate rank stability
final_gelatin_conc_pctw_or_v,75,0.609755339731654,0.47283679685166485,0.7638109558190679,12.0,12.0,8.0,13.0,0.0,0.0,0.188,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.6120421614701308,0.35853793498012754,9.64,10.0,8.0,12.0,0.08,0.16,0.52,Low rank stability
final_gelma_conc_pctw_or_v,75,0.14272478781825687,0.11479106472996688,0.1752153317603353,15.0,15.0,15.0,15.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.14450306437433208,0.0649558547206174,14.8,15.0,15.0,15.0,0.0,0.0,0.0,Low rank stability
nozzle_movement_speed_mm_or_s,75,0.6951614203232783,0.5688290958325037,0.836545763491808,11.0,10.0,7.0,12.0,0.0001,0.0009,0.6347,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.7059568621038141,0.3692969304016164,8.44,8.0,6.0,11.0,0.12,0.2,0.68,Low rank stability
outer_nozzle_inner_diameter_um,75,0.6985003269528666,0.5964564914048339,0.8288225005523449,10.0,10.0,7.0,12.0,0.0,0.0005,0.6607,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.7060769388465409,0.3421844041540677,8.44,10.0,7.0,11.0,0.12,0.16,0.72,Low rank stability
photocrosslinking_duration_s,75,0.7095934020013535,0.5626124657534234,0.8820103277749771,9.0,10.0,7.0,12.0,0.0003,0.0041,0.664,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.7098730470073213,0.46740837231810833,8.88,10.0,6.0,12.0,0.12,0.2,0.52,Low rank stability
physical_crosslinking_duration_s,75,0.7207677680165688,0.635024010618674,0.8093320579974986,8.0,9.0,7.0,12.0,0.0,0.0,0.8544,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.7210457048757212,0.2864230570426377,8.36,8.0,6.0,10.0,0.08,0.12,0.76,Low rank stability
primary_or_not_primary,75,0.37245648663482744,0.32628019421410037,0.42097867109362863,14.0,14.0,14.0,14.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.37785545154558775,0.23142957682152507,12.2,13.0,12.0,14.0,0.0,0.04,0.24,Low rank stability
substrate_temperature_degc,75,0.8758493290882473,0.6653638160076149,1.117823034350075,7.0,7.0,3.0,10.0,0.0327,0.1605,0.9781,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,0.8729169984975818,0.565006514291693,7.8,8.0,5.0,11.0,0.16,0.36,0.68,Low rank stability
syringe_temperature_degc,75,1.0987256244967785,0.9095235741331226,1.298237755191641,3.0,3.0,2.0,6.0,0.6697,0.9545,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,15,1.0895348215097875,0.6148055307881656,6.16,6.0,4.0,9.0,0.24,0.48,0.84,Low rank stability
cacl2_conc_mm,75,0.5227260473470953,0.4374022569018401,0.6180064679867169,12.0,12.0,9.0,14.0,0.0,0.0,0.1385,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,0.5267666792785682,0.27153416689722076,10.64,12.0,10.0,13.0,0.0,0.16,0.36,Low rank stability
cell_density_cells_or_ml,75,0.7856213635883759,0.6849124913326473,0.8935236637429027,6.0,6.0,4.0,8.0,0.0032,0.3001,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,0.7759883792970053,0.32443156449868227,7.2,7.0,4.0,10.0,0.2,0.36,0.76,Low rank stability
conical_or_straight_nozzle,75,1.2775838197175016,1.1229066376856884,1.4433461756914499,2.0,2.0,2.0,2.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,1.2663842710131266,0.49986081363380025,3.68,2.0,1.0,6.0,0.64,0.72,1.0,Moderate rank stability
days_observed,75,0.9779572629471388,0.8610614057237835,1.1082754307449043,3.0,3.0,3.0,5.0,0.8375,0.9968,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,0.9803949124955521,0.22130235189602096,4.2,4.0,3.0,6.0,0.44,0.72,1.0,Moderate rank stability
extrusion_pressure_kpa,75,1.6169502613526747,1.4003993754597017,1.8676624249602256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,1.6293848334585619,0.5764903787012083,2.36,2.0,1.0,2.0,0.84,0.92,0.96,High rank stability
final_alginate_conc_pctw_or_v,75,0.8317813070067096,0.7310907658178902,0.9360252492942936,5.0,5.0,4.0,7.0,0.0126,0.6982,1.0,cell_viability,cell_viability,Cell viability,percentage points,core_physics,tuned_rf_reference,Tuned Random Forest,25,15,0.8283480259259275,0.20858244646629157,6.08,6.0,5.0,8.0,0.08,0.48,0.96,Low rank stability
