dataset,target_family,target_key,feature_set,validation_design,model_key,selected_candidate_id,selected_parameters_json,selected_count,mean_inner_macro_mae,mean_outer_macro_mae
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",10,13.228413228416596,14.297477994914866
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",22,13.077059206686473,13.76433695669757
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",43,13.177271745424557,12.335389211066984
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,random_forest,random_forest_02,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",8,12.142117357109395,12.480082688848315
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",67,11.987440853729291,11.792230591081099
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",4,11.360835092133799,8.078439215386224
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",18,11.444894179957183,9.815203272281956
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",13,11.464495564909907,13.57347940578035
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",38,11.384175778357005,12.069767071196113
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_05,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.089668563702752,25.11561618941091
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_07,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1,11.339154604135752,3.315237651054211
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,ridge,ridge_01,"{""alpha"": 100.0}",75,13.916062344132552,13.474597425568588
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",3,13.268586354734344,12.336929411327263
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",5,13.188922098188863,13.462534614099994
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",17,13.367266997861467,13.692292767197232
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",2,12.942693772990737,11.3403000519432
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_02,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",4,12.534703224627318,13.789714078098738
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",19,11.915013126888974,12.136968690160055
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.424865299811364,10.18192596554998
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",7,11.334546267938107,12.238842658201316
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",4,11.525199816739,11.950280673308844
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",12,11.564069675637732,11.297692745200834
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_05,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.606427313046904,12.546175017667952
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,ridge,ridge_01,"{""alpha"": 100.0}",25,14.324426967231457,14.173506640662884
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_05,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",2,11.632905987317312,12.49441699482382
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_06,"{""alpha"": 0.1, ""l1_ratio"": 0.1}",4,12.103542832101585,11.688389399659336
