dataset,target_family,target_key,feature_set,validation_design,model_key,model_display_name,outer_split_count,unique_selected_candidates,dominant_candidate_id,dominant_parameters_json,dominant_selection_count,dominant_selection_fraction,selection_entropy,candidate_space_size,normalized_selection_entropy
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,Elastic Net,75,3,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",43,0.5733333333333334,0.9473495818210225,9,0.4311573753510126
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,random_forest,Random Forest,75,2,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",67,0.8933333333333333,0.3394889424345316,6,0.18947238636935673
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,RBF-SVR,75,6,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",38,0.5066666666666667,1.2622283161601349,12,0.507958041911885
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,ridge,Ridge regression,75,1,ridge_01,"{""alpha"": 100.0}",75,1.0,-0.0,5,-0.0
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,Elastic Net,25,3,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",17,0.68,0.8385696937829805,9,0.381649514770862
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,Random Forest,25,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",19,0.76,0.703843328477728,6,0.39282244105062014
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,RBF-SVR,25,5,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",12,0.48,1.2594586934552903,12,0.5068434637424875
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,ridge,Ridge regression,25,1,ridge_01,"{""alpha"": 100.0}",25,1.0,-0.0,5,-0.0
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,Elastic Net,25,5,elastic_net_07,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",16,0.64,1.111708395965967,9,0.5059602952893119
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,random_forest,Random Forest,25,2,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",20,0.8,0.5004024235381879,6,0.27927991012866066
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",22,0.88,0.3669249912727096,12,0.14766147907568833
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,Ridge regression,25,5,ridge_03,"{""alpha"": 1.0}",7,0.28,1.5684705556118042,5,0.9745455500297384
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,elastic_net,Elastic Net,75,4,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",31,0.41333333333333333,1.1389346668014524,9,0.5183515051439244
