comparison_id,contrast_key,dataset,target_family,target_key,target_column,target_label,unit,model_key,model_display_name,focal_feature_set,focal_feature_set_display_name,comparator_feature_set,comparator_feature_set_display_name,n_paired_publications,focal_mean,comparator_mean,mean_difference_focal_minus_comparator,median_difference_focal_minus_comparator,difference_sd,paired_standardized_effect_dz,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,wilcoxon_p_value,probability_publication_favors_claim,claim_aligned_difference,claim_aligned_relative_effect_percent,favorable_mean_direction,favorable_ci_excludes_zero,favorable_direction,adjusted_p_value_bh
cell_viability__elastic_net__full_vs_prospective,full_vs_prospective,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,elastic_net,Elastic Net,full_retrospective,Full retrospective,prospective_design,Prospective design,75,13.004566365745575,13.154393487772404,-0.1498271220268284,-0.05999989366532432,0.9129392955396883,-0.1641150980780791,-0.35766549043560536,0.04874821537751672,0.16574171291435427,0.08048752713699744,0.5333333333333333,0.1498271220268284,1.1389892066563212,True,False,negative,0.5149242537873107
cell_viability__elastic_net__prospective_vs_core,prospective_vs_core,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,elastic_net,Elastic Net,prospective_design,Prospective design,core_physics,Core physics,75,13.154393487772404,13.49896098072074,-0.3445674929483371,-0.03133614393259432,2.838245961791598,-0.12140156194596831,-1.0025135850267248,0.2943858514891404,0.3079346032698365,0.7433695089617598,0.5066666666666667,0.3445674929483371,2.5525482549393868,True,False,negative,0.7338178545618174
cell_viability__random_forest__full_vs_prospective,full_vs_prospective,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,random_forest,Random Forest,full_retrospective,Full retrospective,prospective_design,Prospective design,75,11.663333896647373,11.744980490843366,-0.08164659419599292,-0.04886227318830727,0.8868329335695908,-0.09206536102279969,-0.28358344757235776,0.11420151689650682,0.43577821108944553,0.4470154152433593,0.5466666666666666,0.08164659419599292,0.6951615991158637,True,False,negative,0.8715564221788911
cell_viability__random_forest__prospective_vs_core,prospective_vs_core,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,random_forest,Random Forest,prospective_design,Prospective design,core_physics,Core physics,75,11.744980490843366,12.358355241456257,-0.6133747506128912,-0.2834065510718746,2.446185202042714,-0.25074747002013004,-1.1709638814825158,-0.06833308763132809,0.03079846007699615,0.02550443012540752,0.6266666666666667,0.6133747506128912,4.9632393520726605,True,True,negative,0.1847907604619769
cell_viability__rbf_svr__full_vs_prospective,full_vs_prospective,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,prospective_design,Prospective design,75,11.416740073508468,11.508468654349999,-0.09172858084153065,-0.012169112564932139,0.5200081778013715,-0.17639834286715464,-0.20612424984835404,0.02367557223315045,0.1319934003299835,0.15470281462191304,0.5666666666666667,0.09172858084153065,0.7970528798969213,True,False,negative,0.5149242537873107
cell_viability__rbf_svr__prospective_vs_core,prospective_vs_core,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,rbf_svr,RBF-SVR,prospective_design,Prospective design,core_physics,Core physics,75,11.508468654349999,11.672828399102093,-0.16435974475209336,-0.11403591259251145,1.4558661355073181,-0.11289481961527993,-0.47920391052134287,0.17364561690058916,0.33633318334083295,0.1772769195998194,0.5666666666666667,0.16435974475209336,1.408054150481103,True,False,negative,0.7338178545618174
cell_viability__ridge__full_vs_prospective,full_vs_prospective,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,ridge,Ridge regression,full_retrospective,Full retrospective,prospective_design,Prospective design,75,14.120829995834953,14.169875118021862,-0.049045122186903,0.023852078349158035,1.6336742410890406,-0.030021359799496206,-0.4130559937654613,0.32381201391424663,0.800209989500525,0.8533706216590493,0.48,0.049045122186903,0.3461224730522242,True,False,negative,1.0
cell_viability__ridge__prospective_vs_core,prospective_vs_core,cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,ridge,Ridge regression,prospective_design,Prospective design,core_physics,Core physics,75,14.169875118021862,14.186922104583466,-0.01704698656160916,-0.06488184845647993,7.995719713603602,-0.0021320140240291426,-1.5776769169749125,1.9661627146157268,0.9908004599770012,0.44386629117824805,0.52,0.01704698656160916,0.12015986579708533,True,False,negative,1.0
filament_to_nozzle_ratio__elastic_net__full_vs_prospective,full_vs_prospective,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,elastic_net,Elastic Net,full_retrospective,Full retrospective,prospective_design,Prospective design,54,0.8144162843034998,0.8144162843034998,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.5,-0.0,0.0,False,False,negative,1.0
filament_to_nozzle_ratio__elastic_net__prospective_vs_core,prospective_vs_core,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,elastic_net,Elastic Net,prospective_design,Prospective design,core_physics,Core physics,54,0.8144162843034998,0.8144162843034998,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.5,-0.0,0.0,False,False,negative,1.0
