comparison_id,dataset,target_key,target_label,unit,winner_model_key,winner_model_display_name,winner_feature_set,winner_feature_set_display_name,competitor_model_key,competitor_model_display_name,competitor_feature_set,competitor_feature_set_display_name,n_paired_publications,focal_mean,comparator_mean,mean_difference_focal_minus_comparator,median_difference_focal_minus_comparator,difference_sd,paired_standardized_effect_dz,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,wilcoxon_p_value,probability_publication_favors_claim,claim_aligned_difference,claim_aligned_relative_effect_percent,favorable_mean_direction,favorable_ci_excludes_zero,favorable_direction,adjusted_p_value_bh,winner_statistically_better,winner_statistically_worse
cell_viability__rbf_svr__full_retrospective__vs__elastic_net__core_physics,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,elastic_net,Elastic Net,core_physics,Core physics,75,11.416740073508468,13.49896098072074,-2.0822209072122715,-1.444923852847193,5.723210108240052,-0.36382045527463197,-3.415297780811691,-0.8580956639964712,0.0010999450027498626,0.0036806793978806655,0.6,2.0822209072122715,15.425045751196018,True,True,negative,0.007259637018149093,True,False
cell_viability__rbf_svr__full_retrospective__vs__elastic_net__full_retrospective,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,elastic_net,Elastic Net,full_retrospective,Full retrospective,75,11.416740073508468,13.004566365745575,-1.5878262922371063,-1.6896099868005905,4.843207251933633,-0.3278460345885823,-2.6899173936068066,-0.5132275539833568,0.0047997600119994,0.0018361559269946905,0.6533333333333333,1.5878262922371063,12.209759615049451,True,True,negative,0.01583920803959802,True,False
cell_viability__rbf_svr__full_retrospective__vs__elastic_net__prospective_design,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,elastic_net,Elastic Net,prospective_design,Prospective design,75,11.416740073508468,13.154393487772404,-1.7376534142639344,-1.7263513115197462,5.0459625486352655,-0.3443651032911256,-2.897666380550014,-0.6240823255166585,0.0031498425078746064,0.0017714755005408466,0.64,1.7376534142639344,13.209680977531676,True,True,negative,0.012993100344982751,True,False
cell_viability__rbf_svr__full_retrospective__vs__random_forest__core_physics,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,random_forest,Random Forest,core_physics,Core physics,75,11.416740073508468,12.358355241456257,-0.9416151679477874,-0.7206687124892603,4.066448378523987,-0.23155714281797152,-1.8727670018933744,-0.03868458449480075,0.050747462626868654,0.014489319242613471,0.64,0.9416151679477874,7.619259598470917,True,True,negative,0.09303701481592587,False,False
cell_viability__rbf_svr__full_retrospective__vs__random_forest__full_retrospective,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,random_forest,Random Forest,full_retrospective,Full retrospective,75,11.416740073508468,11.663333896647373,-0.24659382313890357,-0.052583905734786995,3.5095479877768465,-0.07026369891443215,-1.0086791889636553,0.5636889907103882,0.5532223388830558,0.31826712098083876,0.5333333333333333,0.24659382313890357,2.1142653149095625,True,False,negative,0.5889141026819626,False,False
cell_viability__rbf_svr__full_retrospective__vs__random_forest__prospective_design,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,random_forest,Random Forest,prospective_design,Prospective design,75,11.416740073508468,11.744980490843366,-0.32824041733489645,-0.1378493059338446,3.4126934426544313,-0.0961822158510632,-1.0620960051374642,0.46280881128766743,0.4206789660516974,0.2453482038052297,0.5466666666666666,0.32824041733489645,2.7947293534527486,True,False,negative,0.5034998250087496,False,False
cell_viability__rbf_svr__full_retrospective__vs__rbf_svr__core_physics,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,rbf_svr,RBF-SVR,core_physics,Core physics,75,11.416740073508468,11.672828399102093,-0.25608832559362404,-0.17080732354470385,1.4351902285132376,-0.17843510951082397,-0.573242831498927,0.07290838309043829,0.13054347282635867,0.02550443012540752,0.6,0.25608832559362404,2.1938840942211066,True,False,negative,0.1968651567421629,False,False
cell_viability__rbf_svr__full_retrospective__vs__rbf_svr__prospective_design,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,rbf_svr,RBF-SVR,prospective_design,Prospective design,75,11.416740073508468,11.508468654349999,-0.09172858084153065,-0.012169112564932139,0.5200081778013715,-0.17639834286715464,-0.20745323724462192,0.026185499325348388,0.1312434378281086,0.15470281462191304,0.5666666666666667,0.09172858084153065,0.7970528798969213,True,False,negative,0.1968651567421629,False,False
cell_viability__rbf_svr__full_retrospective__vs__ridge__core_physics,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,ridge,Ridge regression,core_physics,Core physics,75,11.416740073508468,14.186922104583466,-2.770182031074999,-1.3428813508709503,7.248031309207495,-0.382197856617412,-4.530591912507461,-1.2522012842074919,0.00039998000099995,0.0008786491445798852,0.6666666666666666,2.770182031074999,19.526307472852174,True,True,negative,0.0043997800109994495,True,False
cell_viability__rbf_svr__full_retrospective__vs__ridge__full_retrospective,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,ridge,Ridge regression,full_retrospective,Full retrospective,75,11.416740073508468,14.120829995834953,-2.704089922326487,-1.0770308711588683,9.70496069741059,-0.27862966235895975,-5.183790391400332,-0.8636670618173818,0.002599870006499675,0.0008299969871424101,0.6666666666666666,2.704089922326487,19.149652839982334,True,True,negative,0.012256530030641326,True,False
