global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,effective_group_size,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean,training_group_count,training_observation_count,task_elapsed_seconds
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,0,0.07533211308156182,-13.733159414226757,0.0,166.96884608153997,0.0,7.99707653221035,0.0,0.0,0.0,0.0,60,487,6.052288828002929
2,cell_viability__prospective_design__publication_grouped__r01__f02,cell_viability,cell_viability,publication_grouped,1,2,0,0.26243387015253106,-12.952556219979124,0.0,137.96285260506656,0.0,7.98918881216433,0.0,0.0,0.0,0.0,60,486,4.085350606997963
3,cell_viability__prospective_design__publication_grouped__r01__f03,cell_viability,cell_viability,publication_grouped,1,3,0,0.2372747131446686,-13.76208820795221,0.0,164.0142898720789,0.0,7.996171649323078,0.0,0.0,0.0,0.0,60,487,3.347310680997907
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,publication_grouped,1,4,0,0.2693709618916967,-14.597599825347245,0.0,163.9867411188943,0.0,8.12551440329218,0.0,0.0,0.0,0.0,59,486,3.370893867999257
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,publication_grouped,1,5,0,0.054599947588796216,-8.254021191987185,0.0,115.4753147704696,0.0,7.878875171467764,0.0,0.0,0.0,0.0,61,486,4.44848465299583
6,cell_viability__prospective_design__publication_grouped__r02__f01,cell_viability,cell_viability,publication_grouped,2,1,0,0.08054705925153642,-12.019476205734286,0.0,134.19661839261028,0.0,8.12551440329218,0.0,0.0,0.0,0.0,59,486,3.8286284649948357
7,cell_viability__prospective_design__publication_grouped__r02__f02,cell_viability,cell_viability,publication_grouped,2,2,0,0.09808495342498422,-14.007405899754874,0.0,149.461655674431,0.0,7.99707653221035,0.0,0.0,0.0,0.0,60,487,3.0414450140015106
8,cell_viability__prospective_design__publication_grouped__r02__f03,cell_viability,cell_viability,publication_grouped,2,3,0,0.2336024806416077,-13.558168379889693,0.0,151.29717433439296,0.0,7.878875171467764,0.0,0.0,0.0,0.0,61,486,3.1243257880050805
9,cell_viability__prospective_design__publication_grouped__r02__f04,cell_viability,cell_viability,publication_grouped,2,4,0,0.1905182049773393,-14.778655709009529,0.0,162.94457582466555,0.0,7.98918881216433,0.0,0.0,0.0,0.0,60,486,4.19119562600099
10,cell_viability__prospective_design__publication_grouped__r02__f05,cell_viability,cell_viability,publication_grouped,2,5,0,0.06050253955552467,-9.626397839425387,0.0,138.6777573753586,0.0,7.996171649323078,0.0,0.0,0.0,0.0,60,487,4.049852825999551
11,cell_viability__prospective_design__publication_grouped__r03__f01,cell_viability,cell_viability,publication_grouped,3,1,0,0.30646346673038916,-10.95549816250318,0.0,138.71105775735063,0.0,8.12551440329218,0.0,0.0,0.0,0.0,59,486,3.1810211149932
12,cell_viability__prospective_design__publication_grouped__r03__f02,cell_viability,cell_viability,publication_grouped,3,2,0,0.1809748133746596,-15.905760917035172,0.0,156.916878532481,0.0,7.98918881216433,0.0,0.0,0.0,0.0,60,486,3.178117089002626
13,cell_viability__prospective_design__publication_grouped__r03__f03,cell_viability,cell_viability,publication_grouped,3,3,0,0.1348949748568624,-9.149405504044793,0.0,124.73086809339662,0.0,7.996171649323078,0.0,0.0,0.0,0.0,60,487,4.400103024003329
14,cell_viability__prospective_design__publication_grouped__r03__f04,cell_viability,cell_viability,publication_grouped,3,4,0,0.0941914984828361,-14.220993561785157,0.0,160.33141817838685,0.0,7.99707653221035,0.0,0.0,0.0,0.0,60,487,4.006818529996963
15,cell_viability__prospective_design__publication_grouped__r03__f05,cell_viability,cell_viability,publication_grouped,3,5,0,0.19330296311681539,-15.93781992692646,0.0,165.48533110036425,0.0,7.878875171467764,0.0,0.0,0.0,0.0,61,486,3.828185537997342
16,cell_viability__prospective_design__publication_grouped__r04__f01,cell_viability,cell_viability,publication_grouped,4,1,0,0.07920169843575933,-11.43565225677741,0.0,137.3275680231141,0.0,7.99707653221035,0.0,0.0,0.0,0.0,60,487,2.568233527999837
17,cell_viability__prospective_design__publication_grouped__r04__f02,cell_viability,cell_viability,publication_grouped,4,2,0,0.21649365111381333,-15.718360947140146,0.0,172.2318113796676,0.0,7.996171649323078,0.0,0.0,0.0,0.0,60,487,2.567298807000043
