global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,meta_primary_source_id,training_source_rows,empirical_bayes_shrinkage,estimated_random_intercept,absolute_random_intercept
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adfm.201700798,4,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adhm.201500677,7,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adhm.201801631,3,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adhm.201901544,4,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adhm.201901792,4,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adma.201503310,9,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/adma.201703443,13,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/biot.200900004,12,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/jbm.a.34420,2,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/jbm.a.36036,4,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/mabi.201600472,42,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1002/smll.201905505,18,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1007/s00289-020-03421-y,1,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1007/s10439-016-1704-5,30,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1007/s10856-019-6258-2,3,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.actbio.2014.06.034,9,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.actbio.2014.09.033,4,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.actbio.2018.10.028,8,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.addma.2020.101640,4,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.biomaterials.2015.05.031,6,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.biomaterials.2016.07.038,9,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.jmbbm.2017.12.018,3,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1016/j.mtbio.2020.100078,5,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1021/acs.biomac.5b00188,2,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1021/acs.biomac.9b01204,12,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1021/acsami.7b04216,3,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1021/acsami.7b16059,12,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1021/acsami.9b09782,6,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1038/s41598-017-17286-1,2,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1038/s41598-018-26407-3,20,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1038/s41598-019-55034-9,15,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1039/c3bm00012e,6,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1039/c4bm00234b,3,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1088/0960-1317/22/8/085014,4,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1088/1758-5082/5/2/025004,3,0.0,0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1088/1758-5082/6/2/024105,9,0.0,-0.0,0.0
1,cell_viability__prospective_design__publication_grouped__r01__f01,cell_viability,cell_viability,publication_grouped,1,1,doi:10.1088/1758-5082/6/3/035001,4,0.0,0.0,0.0
